Quarter,Home & local,Restaurants,Beauty & fitness,Health,Shopping,Other
Q1 '13,22%,16%,14%,11%,12%,25%
Q2 '13,24%,16%,14%,12%,11%,23%
Q3 '13,24%,16%,13%,12%,11%,24%
Q4 '13,24%,16%,14%,11%,10%,25%
Q1 '14,25%,16%,13%,11%,11%,24%
Q2 '14,26%,15%,13%,12%,11%,23%
Q3 '14,26%,15%,12%,11%,11%,25%
Q4 '14,26%,15%,13%,11%,11%,24%
Q1 '15,26%,15%,13%,11%,11%,24%
Q2 '15,28%,15%,12%,11%,11%,23%
Q3 '15,28%,15%,12%,11%,10%,24%
Q4 '15,28%,14%,12%,11%,10%,25%
Q1 '16,29%,14%,12%,11%,10%,24%
Q2 '16,30%,14%,12%,11%,9%,24%
Q3 '16,30%,15%,12%,10%,10%,23%
Q4 '16,30%,15%,12%,11%,9%,24%
Q1 '17,30%,14%,13%,11%,9%,23%
Q2 '17,31%,14%,13%,11%,9%,22%
Q3 '17,31%,15%,12%,11%,9%,22%
Q4 '17,31%,14%,12%,11%,9%,23%
Q1 '18,32%,14%,12%,11%,8%,23%
Q2 '18,33%,14%,12%,10%,8%,22%
Q3 '18,34%,14%,12%,10%,8%,21%
Q4 '18,33%,14%,12%,10%,9%,22%
Q1 '19,33%,14%,12%,10%,8%,23%
Q2 '19,35%,13%,12%,10%,8%,21%
Q3 '19,36%,14%,12%,9%,8%,21%
Q4 '19,36%,14%,12%,9%,8%,21%
Q1 '20,38%,13%,12%,9%,7%,22%
Q2 '20,48%,7%,7%,9%,7%,22%
Q3 '20,45%,11%,8%,8%,8%,20%
