Country,Central gvt & Sub-central,Employ SSC
Belgium,28%,14%
Germany,19%,21%
Denmark,28%,11%
Austria,15%,18%
Slovenia,11%,22%
Netherlands,16%,16%
Hungary,14%,17%
Italy,20%,10%
Finland,22%,7%
Norway,21%,8%
France,14%,14%
Turkey,12%,15%
Luxembourg,14%,12%
Iceland,25%,1%
UK*,16%,9%
Poland,7%,18%
Sweden,18%,7%
Portugal,12%,11%
Czech Republic,12%,11%
USA,15%,8%
Australia**,22%,0%
Canada,15%,7%
Ireland,14%,7%
Slovak Republic,8%,13%
Spain,15%,6%
Japan,8%,13%
Estonia,17%,3%
Greece,3%,16%
Israel,9%,8%
New Zealand*,17%,0%
Switzerland,10%,6%
Korea,4%,8%
Chile,0%,7%
Mexico,4%,1%
