top college sororities,Facebook fans,Twitter followers
(1) Zeta Tau Alpha,40647,11995
(2) Delta Gamma,32717,11835
(3) Kappa Kappa Gamma,31602,12039
(4) Alpha Delta Pi,34945,11217
(5) Chi Omega,35569,10189
(6) Pi Beta Phi,27585,8900
(7) Kappa Delta,13492,12789
(8) Delta Delta Delta,21600,11133
(9) Alpha Omicron Pi,15401,7938
(10) Alpha Phi,13915,11065
(11) Kappa Alpha Theta,19218,8344
(12) Delta Zeta,14986,9332
(13) Alpha Chi Omega,28918,8684
(14) Gamma Phi Beta,20829,6892
(15) Phi Mu,24369,10043
(16) Sigma Kappa,21572,8900
(17) Alpha Gamma Delta,13581,7090
(18) Alpha Xi Delta,16569,6792
(19) Sigma Sigma Sigma,16514,4479
(20) Phi Sigma Sigma,12908,3347
(21) Alpha Sigma Tau,6379,3567
(22) Alpha Sigma Slpha,11553,3640
(23) Sigma Delta Tau,4120,3281
(24) Alpha Epsilon Phi,1290,3103
(25) Theta Phi Alpha,5122,1831
