State,1915,1918,1919
California,102.1,537.8,214.7
Colorado,170.5,766.5,253.5
Connecticut,169.2,767.7,224.5
Indiana,126.1,408.1,213.7
Kansas,116.7,474.4,188.1
Kentucky,118.0,537.3,284.6
Maine,166.0,589.4,229.2
Maryland,171.0,803.6,238.4
Massachusetts,170.7,726.7,207.8
Michigan,111.9,389.3,192.2
Minnesota,100.3,390.5,166.9
Missouri,144.2,476.6,206.1
Montana,117.7,762.7,225.4
New Hampshire,153.2,751.6,231.6
New Jersey,163.4,769.4,226.5
New York,185.2,598.2,233.7
North Carolina,148.4,503.1,234.4
Ohio,135.2,494.3,222.0
Pennsylvania,168.9,883.1,236.5
Rhode Island,185.8,681.2,239.2
South Carolina*,131.9,632.6,291.5
Tennessee**,135.3,476.0,234.8
Utah,119.5,508.8,270.8
Vermont,150.0,597.2,228.9
Virginia,131.1,621.1,267.2
Washington,78.4,411.5,187.9
Wisconsin,119.6,405.6,178.5
