Year,Basketball fund,Grant-In-Aid fund,Sports-Sponsorship fund,Student-Athlete Opportunity fund,Equal Conference Fund,Academic Enhancement fund,Special Assistance Fund,Conference Grant*,Supplemental Support,Student Support Fund
2019/20,167.6,146.39,74.84,68.38,55.63,49.04,18.75,9.93,-,-
2018/19,168.5,146.93,75.12,67.96,53.55,49.22,18.63,9.97,-,-
2017/18,164.94,143.35,73.29,66.3,51.7,48.02,18.18,9.72,-,-
2016/17,159.71,139.5,71.32,64.52,-,46.73,17.69,9.46,-,-
2015/16,205.0,135.65,69.35,79.94,-,26.54,-,9.2,-,18.9
2014/15,199.2,131.86,67.33,77.76,-,26.92,-,8.96,-,-
2013/14,193.58,129.05,64.53,75.57,-,25.1,-,8.7,1.07,-
2012/13,188.31,125.54,62.77,73.51,-,24.41,-,8.47,1.04,-
2011/12,202.0,134.7,67.3,86.1,-,24.6,-,8.3,-,-
2010/11,193.9,137.4,64.6,59.7,-,22.4,-,-,-,-
