Month of survey conducted,Favorable,Unfavorable,Don't know/Refused
April 2010,46%,40%,14%
May 2010,41%,44%,14%
June 2010,48%,41%,10%
July 2010,50%,35%,14%
August 2010,43%,45%,12%
September 2010,49%,40%,11%
October 2010,42%,44%,15%
November 2010,42%,40%,18%
December 2010,42%,41%,18%
January 2011,41%,50%,9%
February 2011,43%,48%,8%
March 2011,42%,46%,13%
April 2011,41%,41%,18%
May 2011,42%,44%,14%
June 2011,42%,46%,12%
July 2011,42%,43%,15%
August 2011,39%,44%,17%
September 2011,41%,43%,16%
October 2011,34%,51%,15%
November 2011,37%,44%,19%
December 2011,41%,43%,17%
January 2012,37%,44%,19%
February 2012,42%,43%,15%
March 2012,41%,40%,19%
April 2012,42%,43%,15%
May 2012,37%,44%,19%
June 2012,41%,41%,18%
July 2012,38%,44%,17%
August 2012,38%,43%,19%
September 2012,45%,40%,14%
October 2012,38%,43%,19%
November 2012,43%,39%,19%
October 2013,38%,44%,18%
November 2013,33%,49%,18%
July 2014,37%,53%,10%
December 2014,41%,46%,14%
January 2015,40%,46%,15%
March 2015,41%,43%,16%
May 2015,39%,42%,19%
August 2015,44%,41%,14%
December 2015,40%,46%,14%
April 2016,38%,49%,13%
June 2016,42%,44%,14%
August 2016,40%,42%,17%
October 2016,45%,45%,10%
December 2016,43%,46%,11%
March 2017,49%,44%,7%
May 2017,49%,42%,9%
July 2017,50%,44%,6%
October 2017,51%,40%,9%
January 2018,50%,42%,8%
March 2018,50%,43%,7%
June 2018,50%,41%,9%
August 2018,50%,40%,10%
October 2018,49%,42%,9%
January 2019,51%,40%,9%
March 2019,50%,39%,11%
June 2019,46%,40%,12%
September 2019,53%,41%,6%
November 2019,52%,41%,7%
January 2020,53%,37%,10%
February 2020,55%,37%,9%
April 2020,50%,39%,12%
May 2020,51%,41%,8%
July 2020,51%,36%,13%
September 2020,49%,42%,9%
