Year,Paper and paperboard,Glass,Metals,Plastics,Rubber and leather,Textiles,Wood,Other materials*
2018,67390,12250,25600,35680,9160,17030,18090,4560
2017,67010,11380,25050,35370,9110,16890,17990,5100
2016,67480,11480,24600,34870,9200,16880,18050,4980
2015,68050,11470,23870,34480,8560,16060,16300,4880
2014,68610,11480,23640,33390,8210,15240,16120,5120
2013,68600,11540,23060,32520,7720,15130,15770,4580
2012,68620,11590,22290,31940,7570,14340,15820,4580
2011,69950,11490,22080,31970,7600,13130,15780,4650
2010,71310,11520,22450,31400,7750,13220,15710,4710
2005,84840,12540,20400,29380,7290,11510,14790,4290
2000,87740,12770,18940,25530,6670,9480,13570,4000
1990,72730,13100,16550,17130,5790,5810,12210,3190
1980,55160,15130,15510,6830,4200,2530,7010,2520
1970,44310,12740,13830,2900,2970,2040,3720,770
1960,29990,6720,10820,390,1840,1760,3030,70
