machinery manufacturing,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Food manufacturing,59576,64121,99090,153996,203693,247132,262608,300280,340436,385649,417687,467112,474998,481746,520966,786991
Beverage and tobacco product manufacturing,46998,52783,60651,68046,72038,67894,77180,82329,85357,97299,102221,102220,112779,115952,122729,156193
Textile mills,3639,4416,7512,12377,14494,13186,12589,15505,14974,13899,16861,18329,18305,17831,19411,28158
Textile product mills,7244,8472,7189,11588,13470,11723,10019,9804,10805,11485,12710,14416,14527,14673,15260,22786
Apparel manufacturing,9137,8694,8908,9182,7072,5938,5179,5159,5135,4977,4618,5993,5753,5939,5268,9874
Leather and allied product manufacturing,653,611,826,926,1281,1095,1102,1128,1405,1542,1693,1911,2204,2362,2282,4530
Wood product manufacturing,5753,7974,12248,14960,19468,19375,16538,19712,21805,25997,35084,40379,43855,49828,52297,114845
Paper manufacturing,18683,19631,30579,40842,62644,67810,69312,78953,86897,98839,116715,126639,128197,128073,134911,191119
Primary metals manufacturing,12578,33410,47608,59376,80850,109316,68168,112076,140088,145999,152193,172340,153866,143532,154616,182929
Machinery manufacturing,34797,52292,72390,93763,111074,129569,118721,150834,177872,217991,215920,249857,236733,220186,221805,250022
Computer and electronic products manufacturing,67476,76197,113704,120947,142777,148576,134103,155903,169484,172745,153710,170665,179685,178895,193199,207218
"Electrical equipment, appliances and components",23722,25177,30602,34211,40737,44442,42354,49866,55544,64166,68096,74065,79404,79952,81132,88433
Transportation equipment manufacturing,327401,346473,381600,383560,411782,378464,318687,406408,422036,512940,640709,738255,781641,793902,778432,826847
Furniture and related products manufacturing,9983,11264,16233,18187,22483,24722,20685,23398,27006,29962,31031,35349,39740,40679,41785,43197
