Month,Tests taken,Tests passed
Mar 20,82916,38375
Feb 20,138678,62950
Jan 20,151871,69861
Dec 19,119206,53564
Nov 19,152643,68569
Oct 19,153153,70440
Sep 19,135450,62316
Aug 19,124424,57792
Jul 19,147795,68161
Jun 19,131949,60673
May 19,134395,63372
Apr 19,127086,59527
Mar 19,136783,62876
Feb 19,125264,56639
Jan 19,137431,64112
Dec 18,107337,49400
Nov 18,150546,68024
Oct 18,157772,72048
Sep 18,135801,61936
Aug 18,138780,64295
Jul 18,148310,67972
Jun 18,138186,62644
May 18,150889,68686
Apr 18,137130,63345
Mar 18,140101,63531
Feb 18,135377,61447
Jan 18,152563,69425
Dec 17,100794,45424
Nov 17,163666,74935
Oct 17,154029,71721
Sep 17,144951,67249
Aug 17,146623,69624
Jul 17,150101,70441
Jun 17,154449,72477
May 17,152667,71192
Apr 17,123225,58441
Mar 17,174321,80514
Feb 17,148490,69401
Jan 17,155250,73855
Dec 16,135357,63850
Nov 16,160529,74572
Oct 16,150604,70736
Sep 16,152395,72219
Aug 16,129648,62047
Jul 16,127573,60191
Jun 16,134225,63653
May 16,128128,60198
Apr 16,134412,63931
Mar 16,131341,61788
Feb 16,134665,63109
Jan 16,129074,61091
Dec 15,110915,52538
Nov 15,123118,58073
Oct 15,138917,65424
Sep 15,133844,62838
Aug 15,111584,53045
Jul 15,138362,65213
Jun 15,139092,65050
May 15,120877,56211
Apr 15,125946,59064
Mar 15,150753,69608
Feb 15,127966,59119
Jan 15,129185,61031
