Year,Men,Women
Rio 2016,27.09,29.29
London 2012,27.51,30.35
Beijing 2008,27.02,29.91
Athens 2004,27.09,30.41
Sydney 2000,27.3,30.29
Atlanta 1996,27.12,31.03
Barcelona 1992,27.78,31.1
Seoul 1988,27.36,31.09
Los Angeles 1984,27.79,-
Moscow 1980,27.71,-
Montreal 1976,27.67,-
Munich 1972,27.64,-
Mexico City 1968,29.46,-
Tokyo 1964,28.41,-
Rome 1960,28.54,-
Melbourne 1956,28.76,-
Helsinki 1952,29.28,-
London 1948,29.99,-
Berlin 1936,30.26,-
Los Angeles 1932,30.19,-
Amsterdam 1928,30.31,-
Paris 1924,30.39,-
Antwerp 1920,31.76,-
Stockholm 1912,31.35,-
