Response,Germany,United Kingdom,United States
Stayed at home more,71%,84%,77%
Washed hands more,70%,75%,73%
Applied social distancing,61%,78%,69%
Wear protective face masks outside,52%,20%,66%
Avoided public places like bars and restaurants,58%,67%,65%
Gone to the shops less,59%,71%,62%
Travelled less,51%,69%,56%
Cancelled plans with family or friends,54%,62%,53%
Shopped online more,30%,46%,52%
Cleaned your house more,20%,40%,43%
Used less cash,35%,63%,36%
Avoided public transport,50%,60%,36%
Avoided certain shopping times,37%,43%,35%
Worked from home,22%,28%,30%
Reduced exercise regime,20%,19%,16%
I have not made any changes to my lifestyle,5%,2%,5%
