Month and year,Imports,Exports
May20,5334.45,1793.46
Apr20,6020.14,1987.01
Mar20,7426.83,2783.71
Feb20,6498.56,2722.44
Jan20,6820.7,2671.17
Dec19,7340.14,2470.59
Nov19,7381.1,2572.41
Oct19,7779.54,2789.28
Sep19,7576.87,2665.02
Aug19,7951.8,2870.04
Jul19,7311.51,2674.42
Jun19,7160.38,2767.12
May19,7803.26,2963.93
Apr19,6941.67,2775.99
Mar19,6902.81,3048.31
Feb19,6206.15,2549.25
Jan19,6872.7,2610.18
Dec18,7768.81,2601.09
Nov18,7566.05,2701.05
Oct18,7621.77,2957.52
Sep18,7228.63,2762.92
Aug18,7249.17,3003.4
Jul18,6963.85,2711.17
Jun18,6985.69,2977.88
May18,6803.96,3035.05
Apr18,6963.08,2884.14
Mar18,7121.96,2985.64
Feb18,6462.45,2719.71
Jan18,7448.1,2480.08
Dec17,7845.53,2725.43
Nov17,7417.11,2854.83
Oct17,6991.37,2843.55
Sep17,7051.78,2733.32
Aug17,6948.58,2875.91
Jul17,5857.78,2626.43
Jun17,6293.32,3004.36
May17,6139.86,2846.43
Apr17,5662.53,2658.01
Mar17,6828.92,2894.25
Feb17,5610.13,2601.79
Jan17,6363.33,2560.23
