Year,Cases,Deaths
12/14/2020,1250044,113953
12/13/2020,1241436,113704
12/12/2020,1229379,113019
12/11/2020,1217126,112326
12/10/2020,1205229,111655
12/9/2020,1183255,110874
12/8/2020,1182249,110074
12/7/2020,1175850,109717
12/6/2020,1168395,109456
12/5/2020,1156770,108863
12/4/2020,1144643,108173
12/3/2020,1133613,107565
12/2/2020,1122362,106765
12/1/2020,1113543,105940
11/30/2020,1107071,105655
11/29/2020,1100683,105459
11/28/2020,1078594,104242
11/27/2020,1078594,104242
11/26/2020,1070487,103597
11/25/2020,1060152,102739
11/24/2020,1049358,101926
11/23/2020,1041875,101676
11/22/2020,1032688,101373
11/21/2020,1025969,100823
11/20/2020,1019543,100104
11/19/2020,1015071,99528
11/18/2020,1011153,99026
11/17/2020,1009396,98861
11/16/2020,1006522,98542
11/15/2020,1003253,98259
11/14/2020,997393,97624
11/13/2020,991835,97056
11/12/2020,986177,96430
11/11/2020,978531,95842
11/10/2020,972785,95225
11/9/2020,967825,95027
11/8/2020,961938,94808
11/7/2020,955128,94323
11/6/2020,949197,93772
11/5/2020,943630,93228
11/4/2020,938405,92593
11/3/2020,933155,92100
11/2/2020,929392,91895
11/1/2020,924962,91753
10/31/2020,918811,91289
10/30/2020,912811,90773
10/29/2020,906863,90309
10/28/2020,901268,89814
10/27/2020,895326,89171
10/26/2020,891160,88924
10/25/2020,886800,88743
10/24/2020,880775,88312
10/23/2020,874171,87894
10/22/2020,867559,87415
10/21/2020,860714,86893
10/20/2020,854926,86338
10/19/2020,851227,86167
10/18/2020,849907,86059
10/17/2020,847107,85704
10/16/2020,846727,85285
10/15/2020,845257,84898
10/14/2020,842617,84420
10/13/2020,838069,83945
10/12/2020,832743,83642
10/11/2020,830993,83642
10/10/2020,828558,83507
10/9/2020,823549,83096
10/8/2020,818613,80083
10/7/2020,813438,79714
10/6/2020,808033,79268
10/5/2020,802786,79088
10/4/2020,801206,78880
10/3/2020,798940,78492
10/2/2020,794241,78078
10/1/2020,789286,77646
9/30/2020,784074,77163
9/29/2020,778333,76603
9/28/2020,772381,76430
9/27/2020,770680,76243
9/26/2020,768145,75844
9/25/2020,763066,75439
9/24/2020,757910,74949
9/23/2020,752415,74348
9/22/2020,746476,73697
9/21/2020,740445,73493
9/20/2020,738744,73258
9/19/2020,736086,72803
9/18/2020,730535,72179
9/17/2020,724535,71978
9/16/2020,722453,71678
9/15/2020,718355,71049
9/14/2020,712370,70821
9/13/2020,710567,70604
9/12/2020,707898,70183
9/11/2020,702590,69649
9/10/2020,697108,69095
9/9/2020,691226,68484
9/8/2020,684823,67781
9/7/2020,678635,67558
9/6/2020,676655,67554
9/5/2020,673906,66851
9/4/2020,668013,66329
9/3/2020,661865,65816
9/2/2020,655107,65241
9/1/2020,648171,64414
8/31/2020,641442,64158
8/30/2020,639318,63819
8/29/2020,636301,63146
8/28/2020,630095,62594
8/27/2020,623847,62076
8/26/2020,616993,61450
8/25/2020,610590,60800
8/24/2020,603739,60480
8/23/2020,601469,60254
8/22/2020,598441,59610
8/21/2020,592323,59106
8/20/2020,586484,58481
8/19/2020,580336,57774
8/18/2020,573775,57023
8/17/2020,567066,56757
8/16/2020,564803,56543
8/15/2020,561659,55908
8/14/2020,555610,55293
8/13/2020,549361,54666
8/12/2020,543055,53929
8/11/2020,536272,53003
8/10/2020,529186,52298
8/9/2020,526809,52006
8/8/2020,523193,51311
8/7/2020,516654,50517
8/6/2020,510037,49698
8/5/2020,502966,48869
8/4/2020,495680,48012
8/3/2020,488250,47746
8/2/2020,485776,47472
8/1/2020,482055,46688
7/31/2020,475395,46000
7/30/2020,467871,45361
7/29/2020,460254,44876
7/28/2020,452144,44022
7/27/2020,443731,43680
7/26/2020,440766,43374
7/25/2020,436653,42645
7/24/2020,428704,41908
7/23/2020,420716,41190
7/22/2020,412440,40400
7/21/2020,403830,39485
7/20/2020,394786,39184
7/19/2020,391397,38888
7/18/2020,387053,38310
7/17/2020,379162,37574
7/16/2020,370983,36906
7/15/2020,362245,36327
7/14/2020,353833,35449
7/13/2020,345041,35006
7/12/2020,341865,34730
7/11/2020,338046,34191
