Month and year,Imports,Exports
May20,1784.12,775.22
Apr20,2159.79,806.33
Mar20,3038.87,1018.09
Feb20,2423.29,912.44
Jan20,2435.01,942.37
Dec19,3182.57,1021.04
Nov19,2803.67,923.31
Oct19,3156.87,1139.84
Sep19,2809.68,926.57
Aug19,2895.84,928.72
Jul19,3141.98,907.07
Jun19,2753.77,983.29
May19,3070.13,918.56
Apr19,3262.85,848.27
Mar19,3070.34,1038.86
Feb19,2864.41,757.4
Jan19,2564.76,879.32
Dec18,3052.37,900.79
Nov18,2848.78,798.63
Oct18,3025.13,944.81
Sep18,2623.11,839.52
Aug18,3054.34,815.46
Jul18,2894.26,791.12
Jun18,2846.84,844.28
May18,2928.11,934.95
Apr18,3085.51,822.21
Mar18,3266.92,834.86
Feb18,2690.96,859.75
Jan18,2857.06,715.32
Dec17,2807.66,717.81
Nov17,2814.09,672.28
Oct17,2986.09,685.86
Sep17,2601.18,780.13
Aug17,2632.5,656.63
Jul17,2807.97,637.22
Jun17,2733.18,706.77
May17,2823.22,643.26
Apr17,2559.44,720.87
Mar17,2753.66,680.46
Feb17,2296.96,547.7
Jan17,2508.54,586.62
