Year,Male,Female
0-5 years,441495,419977
5-10 years,466869,444554
10-15 years,488350,464854
15-20 years,536228,512930
20-25 years,555665,538920
25-30 years,578599,560366
30-35 years,556666,545437
35-40 years,525197,520631
40-45 years,509422,512586
45-50 years,590441,595627
50-55 years,644054,637772
55-60 years,626683,623909
60-65 years,556408,561390
65-70 years,493254,502794
70-75 years,459545,481674
75-80 years,298045,335155
80-85 years,189008,247048
85-90 years,95291,160910
90-95 years,30984,72134
95 years or older,5583,20092
