Number of days since reaching 100 cases,Germany,France,Spain,U.S.,Singapore,Italy,South Korea,Japan,Switzerland,Austria,UK
1,150,100,114,108,102,124,156,132,86,102,114
2,188,100,151,129,106,229,346,144,227,112,160
3,240,191,200,148,108,374,556,144,264,131,206
4,349,212,365,213,110,528,763,157,332,182,271
5,534,282,374,213,112,650,893,164,332,-,321
6,639,420,589,213,117,888,1146,186,645,-,373
7,847,613,589,472,130,1100,1595,210,-,-,456
8,1112,939,1024,987,138,1700,2022,230,-,-,-
9,1139,1100,2140,-,150,2000,2931,239,-,-,-
10,1567,1412,-,-,160,2502,3526,254,-,-,-
11,-,2269,-,-,166,3089,4212,268,-,-,-
12,-,-,-,-,178,3858,4812,287,-,-,-
13,-,-,-,-,-,4636,5328,320,-,-,-
14,-,-,-,-,-,5883,5766,349,-,-,-
15,-,-,-,-,-,7400,6284,408,-,-,-
16,-,-,-,-,-,9172,6767,455,-,-,-
17,-,-,-,-,-,12462,7134,488,-,-,-
18,-,-,-,-,-,-,7382,514,-,-,-
19,-,-,-,-,-,-,7513,620,-,-,-
20,-,-,-,-,-,-,7869,-,-,-,-
21,-,-,-,-,-,-,-,-,-,-,-
