"Academy Award winning movies in the ""Best Foreign Language Film"" category",U.S. & Canada,Foreign
ParasiteSouth Korea2020,48.83,156.2
A Fantastic WomanChile2018,2.02,-
The SalesmanIran2017,2.4,-
Son of SaulHungary2016,1.78,-
IdaPoland2015,3.82,-
The Great BeautyItaly2014,2.85,18.5
AmourAustria2013,6.74,13.1
A SeparationIran2012,7.1,12.8
In a Better WorldDenmark2011,1.01,8.62
The Secret in Their EyesArgentina2010,6.39,27.57
DeparturesJapan2009,1.5,68.43
The CounterfeitersAustria2008,5.49,13.33
The Lives of OthersGermany2007,11.29,66.07
TsotsiSouth Africa2006,2.91,6.97
The Sea InsideSpain2005,2.1,36.43
The Barbarian InvasionsCanada2004,8.54,8.3
Nowhere in AfricaGermany2003,6.18,18.17
No Man's LandBosnia and Herzegovina2002,1.01,3.85
"Crouching Tiger, Hidden DragonTaiwan2001",128.08,85.45
