Month and year,Imports,Exports
May20,84.05,83.98
Apr20,102.83,102.26
Mar20,96.0,149.26
Feb20,70.69,120.02
Jan20,81.3,137.88
Dec19,83.19,146.79
Nov19,83.91,135.31
Oct19,100.3,137.09
Sep19,93.14,119.88
Aug19,101.58,149.2
Jul19,106.78,139.89
Jun19,100.24,137.28
May19,111.37,141.34
Apr19,92.76,144.82
Mar19,96.01,122.29
Feb19,83.18,111.74
Jan19,97.1,127.75
Dec18,92.72,120.33
Nov18,94.17,125.31
Oct18,90.08,142.84
Sep18,90.67,120.7
Aug18,89.61,148.04
Jul18,100.18,133.87
Jun18,92.73,132.99
May18,100.81,143.27
Apr18,100.65,138.09
Mar18,96.28,125.62
Feb18,76.39,131.97
Jan18,90.53,125.2
Dec17,100.24,146.07
Nov17,93.27,133.64
Oct17,96.55,142.77
Sep17,100.41,147.77
Aug17,97.51,139.23
Jul17,90.0,133.58
Jun17,87.77,144.01
May17,100.96,144.77
Apr17,87.49,149.38
Mar17,90.07,147.35
Feb17,71.35,120.74
Jan17,83.85,122.74
