Month,Carrefour Group,E. Leclerc Group,Intermarché Group,Auchan Group,Casino Group,Système U Group,Lidl Group,Delhaize Group,Aldi Group,Other
Aug 20,19.6%,22.7%,15.5%,9.8%,9.4%,10.9%,6.4%,2.8%,2.3%,0.6%
Jul 20,19%,22.5%,15.9%,9.6%,9.7%,10.9%,6.5%,2.8%,2.4%,0.7%
Jun 20,19.2%,21%,16.2%,9.6%,10.4%,11.6%,6%,2.6%,2.3%,0.9%
May 20,19.8%,21.2%,15.8%,9.7%,10.4%,11.5%,5.9%,2.6%,2.3%,0.8%
Apr 20,20.1%,21.5%,15.3%,9.9%,10.2%,11%,6.2%,2.7%,2.4%,0.7%
Mar 20,20%,21.8%,15%,10.1%,10.2%,10.7%,6.1%,2.9%,2.4%,0.8%
Feb 20,19.8%,22%,14.9%,10.2%,10.2%,10.7%,6.3%,2.9%,2.4%,0.6%
Jan 20,19.6%,21.8%,15.1%,10.2%,10.3%,10.8%,6.2%,2.9%,2.4%,0.7%
Dec 19,19.8%,21.6%,15.3%,10%,10.6%,10.7%,6.2%,2.8%,2.3%,0.7%
Nov 19,19.7%,21.6%,15.4%,9.9%,10.7%,10.9%,5.9%,3%,2.2%,0.7%
Oct 19,19.7%,21.7%,15.5%,10%,10.8%,11.1%,5.9%,2.9%,2.2%,0.6%
Sept 19,19.8%,21.6%,15%,10%,10.8%,11.1%,6%,2.9%,2.1%,0.7%
Aug 19,20.1%,21.5%,15%,10.1%,10.9%,10.9%,6%,2.7%,2.2%,0.6%
Jul 19,19.9%,21.6%,15%,10.1%,11%,10.8%,5.9%,2.8%,2.3%,0.6%
Jun 19,19.9%,21.5%,14.9%,10.1%,10.9%,10.8%,6%,2.8%,2.4%,0.6%
May 19,20.1%,21.3%,14.8%,10.2%,11%,10.9%,5.9%,2.7%,2.4%,0.6%
Apr 19,20.1%,21.3%,14.8%,10.3%,11%,10.7%,5.9%,2.8%,2.5%,0.6%
Mar 19,20%,21.4%,14.7%,10.4%,11%,10.5%,5.8%,2.9%,2.5%,0.7%
Feb 19,20%,21.4%,14.7%,10.5%,11%,10.6%,5.8%,2.8%,2.5%,0.7%
Jan 19,19.9%,21.2%,15%,10.3%,11.1%,10.6%,5.7%,2.9%,2.4%,0.7%
Dec 18,20.2%,21%,15.2%,10.2%,11.3%,10.6%,5.6%,2.8%,2.4%,0.7%
Nov 18,20%,21%,15.3%,10.1%,11.4%,10.8%,5.5%,3%,2.3%,0.6%
Oct 18,20.1%,21.1%,14.9%,10.2%,11.5%,11%,5.3%,3%,2.2%,0.6%
Sep 18,20.2%,21.1%,14.8%,10.1%,11.5%,11%,5.4%,3%,2.2%,0.6%
Aug 18,20.4%,21.1%,14.8%,10.3%,11.6%,10.8%,5.4%,2.8%,2.2%,0.6%
Jul 18,20.2%,21.2%,14.9%,10.2%,11.6%,10.7%,5.5%,2.9%,2.3%,0.6%
Jun 18,20%,21.2%,14.8%,10.4%,11.5%,10.7%,5.5%,2.9%,2.3%,0.6%
May 18,20.4%,21%,14.6%,10.4%,11.4%,10.7%,5.6%,2.8%,2.4%,0.6%
Apr 18,20.5%,21%,14.7%,10.5%,11.3%,10.5%,5.6%,2.8%,2.5%,0.6%
Mar 18,20.4%,21%,14.6%,10.7%,11.3%,10.4%,5.4%,3%,2.4%,0.7%
Feb 18,20.5%,21.1%,14.5%,10.8%,11.2%,10.5%,5.4%,2.9%,2.4%,0.7%
Jan 18,20.4%,21%,14.7%,10.6%,11.3%,10.5%,5.4%,3%,2.4%,0.7%
Dec 17,20.5%,21.1%,14.9%,10.3%,11.5%,10.4%,5.4%,2.8%,2.3%,0.7%
