Year,Groningen,Friesland,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,Noord-Holland,Zuid-Holland,Zeeland,Noord-Brabant,Limburg
2019,7400,8468,6974,14043,6326,25701,17332,35702,45018,5733,32488,13410
2018,7133,8311,7076,14293,5739,25645,16756,34949,45661,5827,33596,13505
2017,7297,8977,7521,15470,6426,28433,18688,39849,52198,5997,36329,14675
2016,6435,7590,6122,13097,5165,23910,18290,39443,46512,5106,30762,12361
2015,5420,6277,5011,10462,4020,19088,15400,35378,37498,4267,25304,10168
2014,4748,5443,4208,9171,3367,16477,13264,30225,31269,3998,22286,9055
2013,3590,3878,3264,6840,2508,12060,8642,20358,23116,3193,15683,6962
2012,3722,4031,3385,7843,2564,12752,9504,21010,24917,3392,16583,7558
2011,4093,4365,3446,7542,2576,13002,9978,22025,26328,3311,16697,7376
2010,4347,4720,3663,7820,2699,13880,10273,22690,27793,3254,17330,7658
2009,4403,4634,3743,7853,3056,13820,10113,22166,29382,3259,17187,7916
2008,5993,6667,5410,11266,4680,19749,15116,31167,40933,4610,26023,10778
2007,6850,7752,5676,12224,5233,21961,15901,34217,45709,5133,29294,12451
2006,7052,8154,6196,12729,5507,23479,16756,35127,46131,5266,30558,12812
2005,6837,7978,6150,12843,5185,23048,16230,34239,46171,5383,29671,12894
2004,6668,7705,5636,12006,5005,21100,14964,31065,43741,4827,26867,12357
2003,6703,7992,5805,12418,5642,21572,14724,28831,44710,4823,27410,12776
2002,6901,7874,6133,12599,6144,21579,15306,29452,46321,4940,28253,12884
2001,6850,7963,6110,11903,6593,21238,15487,28499,44689,5256,28387,12762
2000,6871,7576,6583,11035,5786,20299,15353,27773,43079,5131,28002,11870
1999,7943,8585,7028,13148,6814,22651,15806,28187,45417,5776,29940,13243
1998,6971,7537,6778,12242,6327,20743,14766,25940,45706,5079,28337,12196
1997,6780,7666,6976,11957,4921,20824,15127,26015,40860,5147,27506,11855
1996,6721,7643,5948,11631,4066,19467,14896,23975,39957,4526,25935,10986
1995,5512,6856,5070,9586,2737,17366,12330,22047,36098,3968,23502,9496
