Year,United Nations,League of Nations
2020*,193,-
2019,193,-
2018,193,-
2017,193,-
2016,193,-
2015,193,-
2014,193,-
2013,193,-
2012,193,-
2011,193,-
2010,192,-
2009,192,-
2008,192,-
2007,192,-
2006,192,-
2005,191,-
2004,191,-
2003,191,-
2002,191,-
2001,189,-
2000,189,-
1999,187,-
1998,184,-
1997,184,-
1996,184,-
1995,184,-
1994,184,-
1993,183,-
1992,177,-
1991,166,-
1990,159,-
1989,159,-
1988,159,-
1987,159,-
1986,159,-
1985,159,-
1984,159,-
1983,158,-
1982,157,-
1981,157,-
1980,154,-
1979,152,-
1978,151,-
1977,149,-
1976,147,-
1975,144,-
1974,138,-
1973,132,-
1972,132,-
1971,132,-
1970,127,-
1969,126,-
1968,126,-
1967,123,-
1966,120,-
1965,118,-
1964,116,-
1963,114,-
1962,111,-
1961,106,-
1960,101,-
1959,83,-
1958,83,-
1957,83,-
1956,81,-
1955,77,-
1954,60,-
1953,60,-
1952,60,-
1951,60,-
1950,60,-
1949,59,-
1948,58,-
1947,57,-
1946,55,-
1945,51,-
1944,-,43
1943,-,43
1942,-,43
1941,-,44
1940,-,44
1939,-,45
1938,-,50
1937,-,53
1936,-,54
1935,-,57
1934,-,58
1933,-,55
1932,-,57
1931,-,55
1930,-,54
1929,-,54
1928,-,54
1927,-,54
1926,-,54
1925,-,54
1924,-,55
1923,-,54
1922,-,52
1921,-,51
1920,-,48
