state of the United States,Barack Obama,Mitt Romney
Alabama (100% reported),38%,61%
Alaska (99% reported),42%,55%
Arizona (100% reported),44%,54%
Arkansas (98% reported),37%,61%
California (100% reported),59%,39%
Colorado (100% reported),51%,47%
Connecticut (100% reported),58%,40%
Delaware (100% reported),59%,40%
District of Columbia (100% reported),91%,7%
Florida (99% reported),50%,49%
Georgia (100% reported),45%,53%
Hawaii (100% reported),71%,28%
Idaho (100% reported),33%,65%
Illinois (99% reported),57%,41%
Indiana (99% reported),44%,54%
Iowa (100% reported),52%,47%
Kansas (100% reported),38%,60%
Kentucky (100% reported),38%,61%
Louisiana (100% reported),41%,58%
Maine (98% reported),56%,41%
Maryland (99% reported),62%,37%
Massachusetts (99% reported),61%,38%
Michigan (100% reported),54%,45%
Minnesota (100% reported),53%,45%
Mississippi (99% reported),44%,55%
Missouri (100% reported),44%,56%
Montana (94% reported),42%,55%
Nebraska (100% reported),38%,61%
Nevada (100% reported),52%,46%
New Hampshire (100% reported),52%,46%
New Jersey (99% reported),58%,41%
New Mexico (100% reported),53%,43%
New York (98% reported),63%,36%
North Carolina (100% reported),48%,51%
North Dakota (100% reported),39%,59%
Ohio (100% reported),50%,48%
Oklahoma (100% reported),33%,67%
Oregon (96% reported),55%,43%
Pennsylvania (99% reported),52%,47%
Rhode Island (99% reported),63%,36%
South Carolina (100% reported),44%,55%
South Dakota (100% reported),40%,58%
Tennessee (99% reported),39%,60%
Texas (100% reported),41%,57%
Utah (100% reported),25%,73%
Vermont (100% reported),67%,31%
Virginia (99% reported),51%,48%
Washington (87% reported),56%,42%
West Virginia (100% reported),36%,62%
Wisconsin (99% reported),53%,46%
Wyoming (100% reported),28%,69%
