company,Complaints opened,Complaints closed
Barclays Bank UK Plc,800755,233784
Lloyds Bank PLC,509900,479473
Bank of Scotland plc,464460,410351
MBNA Limited,332699,175360
HSBC UK Bank Plc,185172,156168
National Westminster Bank Plc,147326,113606
Santander Cards UK Limited,147276,114372
Aviva Insurance Limited,130554,119020
British Gas Services Limited,100618,81889
Black Horse Limited,99785,77071
"Carphone Warehouse Ltd, The",93332,12021
Capital One (Europe) plc,91455,125549
Clydesdale Bank Plc,86814,47218
Canada Square Operations Limited,86273,77636
