Month and year,Imports,Exports
May20,6858.03,2767.29
Apr20,7613.21,2457.87
Mar20,8405.68,3827.69
Feb20,7336.21,3114.33
Jan20,8235.7,3091.17
Dec19,8283.02,3552.76
Nov19,7883.99,3139.27
Oct19,8892.84,3319.07
Sep19,8428.9,3626.13
Aug19,8929.64,3272.78
Jul19,8913.18,3168.68
Jun19,8207.69,3614.07
May19,9010.22,3625.49
Apr19,8774.81,3247.06
Mar19,9171.36,3900.82
Feb19,7197.95,3075.25
Jan19,8448.37,3041.13
Dec18,8473.81,3450.26
Nov18,7995.03,3366.92
Oct18,8591.76,3307.3
Sep18,8113.47,3368.13
Aug18,8343.07,3502.93
Jul18,8649.19,3339.69
Jun18,8052.99,3386.81
May18,8567.44,3321.81
Apr18,8234.3,3467.49
Mar18,8679.29,3722.55
Feb18,7703.66,3091.25
Jan18,7377.8,2640.38
Dec17,7831.84,3352.06
Nov17,7839.17,2997.48
Oct17,8328.98,3128.7
Sep17,7793.49,3253.66
Aug17,8065.57,3125.34
Jul17,7910.8,2844.27
Jun17,7359.36,3060.41
May17,7856.07,3034.66
Apr17,7538.43,2750.54
Mar17,7368.66,3386.4
Feb17,6362.21,2619.58
Jan17,7158.0,2781.64
