Month,Actual,Forecast
Dec '20,50.8,50.0
Nov '20,50.8,51.1
Oct '20,50.8,52.4
Sep '20,50.6,52.9
Aug '20,52.8,50.0
Jul '20,47.2,46.5
Jun '20,40.6,35.6
May '20,31.9,34.6
Apr '20,42.4,45.2
Mar '20,48.2,48.0
Feb '20,47.4,48.3
Jan '20,48.0,46.8
Dec '19,46.7,46.6
Nov '19,45.6,48.1
Oct '19,47.8,47.9
Sep '19,48.8,47.6
Aug '19,47.4,48.0
Jul '19,48.4,48.9
Jun '19,48.8,49.0
May '19,49.0,48.8
Apr '19,48.7,47.6
Mar '19,47.6,48.2
Feb '19,48.2,47.8
Jan '19,47.6,49.8
Dec '18,49.5,50.4
Nov '18,50.4,50.1
Oct '18,50.5,51.5
Sep '18,51.4,53.0
Aug '18,52.9,54.2
Jul '18,54.2,53.1
Jun '18,53.3,53.3
May '18,53.9,53.2
Apr '18,53.7,53.2
Mar '18,53.7,54.1
Feb '18,54.6,55.3
Jan '18,55.0,54.7
