Month and year,Imports,Exports
May20,56.84,35.12
Apr20,90.18,24.77
Mar20,98.69,49.21
Feb20,116.44,40.56
Jan20,101.9,31.84
Dec19,92.67,42.22
Nov19,83.48,42.9
Oct19,93.7,45.43
Sep19,133.43,42.76
Aug19,112.57,45.49
Jul19,119.77,39.28
Jun19,124.38,51.06
May19,334.61,54.56
Apr19,124.46,30.55
Mar19,104.04,42.6
Feb19,73.92,41.3
Jan19,78.88,44.96
Dec18,73.43,44.75
Nov18,89.09,37.82
Oct18,94.43,38.86
Sep18,66.58,50.09
Aug18,89.95,31.22
Jul18,80.89,47.84
Jun18,112.42,36.19
May18,109.53,39.79
Apr18,101.19,31.29
Mar18,91.69,47.81
Feb18,85.35,37.47
Jan18,90.93,28.43
Dec17,65.47,42.87
Nov17,79.11,35.61
Oct17,98.08,37.44
Sep17,86.57,35.89
Aug17,66.3,29.29
Jul17,60.96,40.69
Jun17,55.04,33.69
May17,71.73,43.28
Apr17,78.55,20.38
Mar17,59.18,51.96
Feb17,62.38,20.64
Jan17,75.18,36.8
