Year and candidate,Democrat,Republican,Federalist,Democratic-Republican,National Republican,Whig,Unaffiliated,Vote not cast**
2020: Joe Biden*,3,-,-,-,-,-,-,-
2016: Hillary Clinton,3,-,-,-,-,-,-,-
2012: Barack Obama*,3,-,-,-,-,-,-,-
2008: Barack Obama*,3,-,-,-,-,-,-,-
2004: John Kerry,3,-,-,-,-,-,-,-
2000: Al Gore,3,-,-,-,-,-,-,-
1996: Bill Clinton*,3,-,-,-,-,-,-,-
1992: Bill Clinton*,3,-,-,-,-,-,-,-
1988: George H. W. Bush*,-,3,-,-,-,-,-,-
1984: Ronald Reagan*,-,3,-,-,-,-,-,-
1980: Ronald Reagan*,-,3,-,-,-,-,-,-
1976: Jimmy Carter*,3,-,-,-,-,-,-,-
1972: Richard Nixon*,-,3,-,-,-,-,-,-
1968: Richard Nixon*,-,3,-,-,-,-,-,-
1964: Lyndon B. Johnson*,3,-,-,-,-,-,-,-
1960: John F. Kennedy*,3,-,-,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,3,-,-,-,-,-,-
1952: Dwight D. Eisenhower*,-,3,-,-,-,-,-,-
1948: Thomas E. Dewey,-,3,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,3,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,3,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,3,-,-,-,-,-,-,-
1932: Herbert Hoover,-,3,-,-,-,-,-,-
1928: Herbert Hoover*,-,3,-,-,-,-,-,-
1924: Calvin Coolidge*,-,3,-,-,-,-,-,-
1920: Warren G. Harding*,-,3,-,-,-,-,-,-
1916: Charles Evans Hughes,-,3,-,-,-,-,-,-
1912: Woodrow Wilson*,3,-,-,-,-,-,-,-
1908: William Howard Taft*,-,3,-,-,-,-,-,-
1904: Theodore Roosevelt*,-,3,-,-,-,-,-,-
1900: William McKinley*,-,3,-,-,-,-,-,-
1896: William McKinley*,-,3,-,-,-,-,-,-
1892: Grover Cleveland*,3,-,-,-,-,-,-,-
1888: Grover Cleveland,3,-,-,-,-,-,-,-
1884: Grover Cleveland*,3,-,-,-,-,-,-,-
1880: Winfield Hancock,3,-,-,-,-,-,-,-
1876: Samuel J. Tilden,3,-,-,-,-,-,-,-
1872: Ulysses S. Grant*,-,3,-,-,-,-,-,-
1868: Horatio Seymour,3,-,-,-,-,-,-,-
1864: George B. McClellan,3,-,-,-,-,-,-,-
1860: John C. Breckenridge,3,-,-,-,-,-,-,-
1856: James Buchanan*,3,-,-,-,-,-,-,-
1852: Franklin Pierce*,3,-,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,-,3,-,-
1844: Henry Clay,-,-,-,-,-,3,-,-
1840: William Henry Harrison*,-,-,-,-,-,3,-,-
1836: William Henry Harrison,-,-,-,-,-,3,-,-
1832: Henry Clay,-,-,-,-,3,-,-,-
1828: John Quincy Adams,-,-,-,-,3,-,-,-
"1824: John Quincy Adams* (1), William H. Crawford (2)",-,-,-,3,-,-,-,-
1820: James Monroe*,-,-,-,4,-,-,-,-
1816: Rufus King,-,-,3,-,-,-,-,1
1812: DeWitt Clinton,-,-,4,-,-,-,-,-
1808: Charles C. Pinckney,-,-,3,-,-,-,-,-
1804: Charles C. Pinckney,-,-,3,-,-,-,-,-
1800: Charles C. Pinckney,-,-,3,-,-,-,-,-
1796: John Adams*,-,-,3,-,-,-,-,-
1792: George Washington*,-,-,-,-,-,-,3,-
1789: George Washington*,-,-,-,-,-,-,3,-
