Year,England,Scotland,Wales,Northern Ireland
2020,40.28,13.89,24.96,23.52
2019,35.72,13.63,22.78,23.41
2018,35.4,13.15,21.35,22.32
2017,32.38,11.68,19.05,20.84
2016,24.41,10.38,15.9,19.61
2015,21.16,9.45,18.98,18.04
2014,20.04,7.46,17.24,17.34
2013,18.63,6.89,14.82,16.8
2012,17.0,6.49,13.49,15.67
2011,16.16,6.02,13.08,14.92
2010,14.67,5.98,12.53,12.54
2009,11.77,6.13,11.24,10.09
2008,10.87,5.99,10.59,9.41
2007,10.05,6.08,9.9,8.81
2006,9.67,6.3,9.49,8.7
2005,9.35,6.3,9.26,8.79
2004,8.85,6.0,8.79,8.57
2003,8.22,5.53,8.11,8.02
2002,7.01,4.89,6.98,6.37
2001,4.15,3.91,4.23,4.28
2000,2.69,2.62,2.72,2.69
