Month,Just me,2-4,5-9,10-19,20-49,50-249,250+,Don't know/prefer not to say
Jul '16,56%,26%,8%,4%,2%,1%,0%,2%
Aug '16,50%,27%,10%,4%,2%,2%,1%,3%
Sep '16,50%,27%,11%,4%,3%,1%,1%,3%
Oct '16,48%,29%,11%,3%,3%,3%,2%,1%
Nov '16,48%,26%,11%,4%,3%,2%,2%,5%
Dec '16,55%,27%,10%,2%,2%,0%,1%,3%
Jan '17,50%,29%,10%,4%,3%,2%,1%,2%
Feb '17,52%,28%,7%,5%,3%,1%,1%,2%
Mar '17,53%,26%,10%,5%,2%,1%,1%,1%
Apr '17,49%,29%,9%,5%,2%,1%,1%,3%
May '17,51%,29%,10%,4%,3%,1%,0%,2%
Jun '17,50%,28%,10%,4%,2%,1%,0%,4%
Jul '17,52%,29%,9%,4%,2%,1%,0%,2%
Aug '17,55%,28%,7%,4%,2%,1%,1%,2%
Sep '17,49%,29%,11%,3%,2%,1%,1%,3%
Oct '17,53%,27%,9%,5%,2%,1%,0%,2%
Nov '17,49%,31%,9%,4%,2%,1%,1%,2%
Dec '17,51%,24%,11%,4%,3%,1%,1%,4%
Jan '18,54%,26%,7%,5%,3%,1%,1%,3%
