Annual household income in U.S. dollars,"Under 15,000","15,000 to 24,999","25,000 to 34,999","35,000 to 49,999","50,000 to 74,999","75,000 to 99,999","100,000 to 149,999","150,000 to 199,999","200,000 and over"
2006,9.6%,9.5%,9.4%,13%,17.5%,12.7%,15%,6.7%,6.5%
2007,10%,10%,9%,12.8%,17.3%,12.6%,15.3%,6.7%,6.4%
2008,10.4%,10%,9.4%,13.4%,17%,12.5%,15%,6.3%,6%
2009,10.4%,10%,9.7%,13.2%,17.4%,12.4%,14.5%,6.3%,6%
2010,11.2%,10.7%,9.4%,13.3%,16.8%,12.4%,14.1%,6.3%,5.9%
2011,11.6%,10.2%,10.2%,13.1%,17.2%,11.9%,13.8%,6.2%,5.8%
2012,11.4%,10.6%,10.1%,12.5%,17.4%,12%,13.9%,6.3%,5.9%
2013,11.4%,10.3%,9.5%,12.5%,16.8%,12%,13.9%,6.7%,6.9%
2014,11.4%,10.5%,9.6%,12.6%,16.4%,12.1%,14%,6.6%,6.8%
2015,10.6%,10%,9.6%,12.1%,16.1%,12.4%,14.9%,7.1%,7.2%
2016,10.4%,9%,9.2%,12.3%,16.7%,12.2%,15%,7.2%,8%
2017,10%,9.1%,9.2%,12%,16.4%,12.4%,14.7%,7.3%,8.9%
2018,10.1%,8.8%,8.7%,12%,17%,12.5%,15%,7.2%,8.8%
2019,9.1%,8%,8.3%,11.7%,16.5%,12.3%,15.5%,8.3%,10.3%
