autonomous community of Spain,2015,2016,2017,2018,2019
Andalusia,114660,128466,140396,150992,138635
Aragon,23046,24567,24492,26515,25135
Asturias,16177,17064,18466,19904,19323
Balearic Islands,31743,32830,34604,35393,31968
Basque Country,38001,38910,39989,42505,42906
Canary Islands,47664,56748,60698,63980,59199
Cantabria,9836,10349,10857,11902,10581
Castile and Leon,33630,36203,37994,39294,36337
Castile-La Mancha,31762,35211,35766,38822,39591
Catalonia,163822,179296,191731,187673,181360
Ceuta & Melilla,2087,2133,2189,2445,2542
Community of Madrid,323513,368036,403616,458207,474350
Extremadura,12523,13736,14626,15900,14601
Galicia,39383,41840,43445,46586,41309
La Rioja,4882,5270,5480,5742,5139
Murcia,22335,24583,26714,27630,31645
Navarre,10791,10917,12435,13523,12303
Region of Valencia,115421,127486,138062,147762,136039
