Month and year,Imports,Exports
May20,1501.74,1517.56
Apr20,1414.4,1288.56
Mar20,1936.0,1701.85
Feb20,2001.32,1533.37
Jan20,2089.58,1257.07
Dec19,1451.16,1242.22
Nov19,2095.86,1619.11
Oct19,1933.63,1578.19
Sep19,1996.99,1700.84
Aug19,1879.27,1588.87
Jul19,2391.12,2345.2
Jun19,2102.05,1595.03
May19,2505.26,1820.64
Apr19,1839.54,1539.44
Mar19,2116.5,1717.28
Feb19,1703.91,2445.79
Jan19,2286.22,1509.58
Dec18,1989.31,1378.55
Nov18,2411.27,1485.72
Oct18,2768.83,1669.26
Sep18,2204.25,1708.39
Aug18,2565.06,1785.21
Jul18,2233.28,1374.75
Jun18,3095.71,1663.21
May18,2404.9,2087.59
Apr18,2160.79,1441.37
Mar18,2061.84,1784.15
Feb18,1895.47,1202.79
Jan18,1948.63,1380.5
Dec17,1673.94,1091.15
Nov17,1478.58,1165.92
Oct17,850.86,1258.56
Sep17,677.1,729.9
Aug17,1804.97,1254.18
Jul17,1605.03,1354.97
Jun17,1683.95,1642.08
May17,1992.63,1535.51
Apr17,1634.11,1262.45
Mar17,2109.35,1746.4
Feb17,1293.16,2138.05
Jan17,1375.52,1882.49
