Response,Hispanics,"White, non-Hispanic",African Americans,Asians
Clothing,62%,61%,57%,63%
Shoes,47%,45%,45%,45%
Home electronics,43%,42%,43%,47%
Music,41%,35%,34%,34%
"Fast food/take-out (Pizza, etc.)",39%,33%,37%,31%
Books,38%,46%,29%,40%
"Tickets (movies, concerts, etc.)",37%,33%,26%,38%
Toys,35%,33%,23%,32%
Health & beauty products,33%,30%,24%,41%
Airline tickets,33%,21%,15%,46%
Jewelry (including watches),30%,26%,24%,24%
Vitamins/supplements,30%,24%,23%,30%
Small appliances,26%,23%,20%,26%
Home decorations/accessories,20%,24%,19%,28%
Magazines,20%,20%,15%,17%
Grocery food items,18%,22%,16%,19%
Sports equipment (not including apparel),18%,18%,9%,16%
Flower arrangements,16%,13%,11%,10%
Household cleaning supplies,15%,15%,12%,20%
Medicine (prescription or off-the-shelf),14%,15%,11%,13%
Furniture,14%,17%,8%,16%
Large appliances,11%,11%,5%,8%
Beer/alcohol,8%,4%,5%,4%
