Month and year,Imports,Exports
May20,1378.64,1311.95
Apr20,1339.29,1389.26
Mar20,1945.37,1919.19
Feb20,1379.13,1710.22
Jan20,1522.02,1990.05
Dec19,1955.66,1902.59
Nov19,1679.2,2022.55
Oct19,1801.77,1887.99
Sep19,1777.32,1890.0
Aug19,1639.07,1742.3
Jul19,1698.89,1578.76
Jun19,1721.0,1924.83
May19,1538.54,2033.28
Apr19,1625.94,1852.69
Mar19,1601.13,2123.21
Feb19,1542.15,1971.07
Jan19,1496.57,2251.4
Dec18,1757.87,2140.04
Nov18,1599.41,2458.31
Oct18,1702.24,2542.29
Sep18,1609.26,2028.21
Aug18,1836.24,2242.23
Jul18,1740.43,1837.72
Jun18,1679.92,2169.61
May18,1698.41,2279.89
Apr18,1668.8,2084.51
Mar18,1635.82,2242.17
Feb18,1375.7,1416.69
Jan18,1570.34,1820.49
Dec17,1725.63,1826.69
Nov17,1537.69,1829.71
Oct17,1607.22,2023.75
Sep17,1727.0,2089.54
Aug17,1500.04,1978.88
Jul17,1513.63,1897.05
Jun17,1731.9,1821.64
May17,1561.86,1611.85
Apr17,1457.22,1637.19
Mar17,1516.46,2136.54
Feb17,1387.35,1562.14
Jan17,1428.21,1642.53
