Year and candidate,Democrat,Republican,Democratic-Republican,Whig,Uncast ballot
2020: Donald Trump,-,18,-,-,-
2016: Donald Trump*,-,18,-,-,-
2012: Barack Obama*,18,-,-,-,-
2008: Barack Obama*,20,-,-,-,-
2004: George W. Bush*,-,20,-,-,-
2000: George W. Bush*,-,21,-,-,-
1996: Bill Clinton*,21,-,-,-,-
1992: Bill Clinton*,21,-,-,-,-
1988: George H. W. Bush*,-,24,-,-,-
1984: Ronald Reagan*,-,24,-,-,-
1980: Ronald Reagan*,-,25,-,-,-
1976: Jimmy Carter*,25,-,-,-,-
1972: Richard Nixon*,-,25,-,-,-
1968: Richard Nixon*,-,26,-,-,-
1964: Lyndon B. Johnson*,26,-,-,-,-
1960: Richard Nixon,-,25,-,-,-
1956: Dwight D. Eisenhower*,-,25,-,-,-
1952: Dwight D. Eisenhower*,-,25,-,-,-
1948: Harry S. Truman*,25,-,-,-,-
1944: Thomas E. Dewey,-,25,-,-,-
1940: Franklin D. Roosevelt*,26,-,-,-,-
1936: Franklin D. Roosevelt*,26,-,-,-,-
1932: Franklin D. Roosevelt*,26,-,-,-,-
1928: Herbert Hoover*,-,24,-,-,-
1924: Calvin Coolidge*,-,24,-,-,-
1920: Warren G. Harding*,-,24,-,-,-
1916: Woodrow Wilson*,24,-,-,-,-
1912: Woodrow Wilson*,24,-,-,-,-
1908: William Howard Taft*,-,23,-,-,-
1904: Theodore Roosevelt*,-,23,-,-,-
1900: William McKinley*,-,23,-,-,-
1896: William McKinley*,-,23,-,-,-
"1892: Benjamin Harrison (22), Grover Cleveland* (1)",1,22,-,-,-
1888: Benjamin Harrison*,-,23,-,-,-
1884: James G. Blaine,-,23,-,-,-
1880: James A. Garfield*,-,22,-,-,-
1876: Rutherford B. Hayes*,-,22,-,-,-
1872: Ulysses S. Grant*,-,22,-,-,-
1868: Ulysses S. Grant*,-,21,-,-,-
1864: Abraham Lincoln*,-,21,-,-,-
1860: Abraham Lincoln*,-,23,-,-,-
1856: John C. Frémont,-,23,-,-,-
1852: Franklin Pierce*,23,-,-,-,-
1848: Lewis Cass,23,-,-,-,-
1844: Henry Clay,-,-,-,23,-
1840: William Henry Harrison*,-,-,-,21,-
1836: William Henry Harrison,-,-,-,21,-
1832: Andrew Jackson*,21,-,-,-,-
1828: Andrew Jackson*,16,-,-,-,-
1824: Henry Clay,-,-,16,-,-
1820: James Monroe*,-,-,8,-,-
1816: James Monroe*,-,-,8,-,-
1812: James Madison*,-,-,7,-,1
1808: James Madison*,-,-,3,-,-
1804: Thomas Jefferson*,-,-,3,-,-
