President,Public persuasion,Crisis leadership,Economic management,Moral authority,International relations,Administrative skills,Relations with congress,Vision/setting an agenda,Pursued equal justice for all,Performance within context of times
Abraham Lincoln,92.4,97.8,80.9,96.2,86.4,85.6,79.5,97.6,93.1,97.1
George Washington,91.4,94.1,84.1,97.6,87.6,84.7,82.8,93.2,54.4,97.7
Franklin D. Roosevelt,96.8,94.1,75.7,85.7,89.7,79.1,80.1,92.7,68.8,92.3
Theodore Roosevelt,92.6,83.5,76.2,84.1,84.4,78.8,72.0,87.6,62.8,85.4
Dwight D. Eisenhower,73.0,82.3,71.5,85.6,81.5,77.0,72.0,64.1,60.7,77.2
Harry S. Truman,67.8,85.1,68.8,72.8,82.6,67.5,57.9,73.0,81.4,80.7
Thomas Jefferson,82.1,72.4,63.3,78.5,71.5,71.8,74.0,87.2,47.8,78.6
John F. Kennedy,86.4,79.4,70.7,66.9,69.5,63.3,61.3,80.9,71.7,72.5
Ronald Reagan,90.9,74.1,60.9,68.8,76.8,47.4,68.9,84.9,44.6,74.1
Lyndon B. Johnson,67.5,59.7,63.9,57.8,41.5,72.3,83.0,81.7,91.5,68.0
Woodrow Wilson,77.8,73.4,69.5,75.7,71.3,70.0,55.2,83.0,36.2,71.1
Barack Obama,77.9,65.4,69.6,77.5,55.1,61.3,37.8,73.3,83.2,67.5
James Monroe,64.5,66.1,58.0,66.2,79.5,66.4,66.2,65.6,43.5,69.9
James K. Polk,68.8,73.8,63.2,53.2,67.5,69.0,64.6,76.6,32.1,68.6
Bill Clinton,79.6,61.5,78.6,33.2,63.8,60.7,55.1,63.1,72.3,65.9
William McKinley,67.4,64.8,64.3,63.5,65.5,65.4,65.6,63.5,41.4,65.4
James Madison,62.3,60.4,57.9,72.9,56.9,62.7,60.1,63.4,47.2,66.4
Andrew Jackson,82.2,73.5,47.6,59.3,58.0,56.5,53.7,79.0,31.2,68.1
John Adams,50.7,62.8,62.5,70.7,70.2,59.9,52.0,57.8,52.6,64.6
George H. W. Bush,49.8,72.7,52.9,64.0,77.3,63.1,56.3,46.1,52.0,62.0
John Quincy Adams,42.7,54.1,58.6,70.1,68.5,61.4,44.3,65.5,66.9,57.6
Ulysses S. Grant,60.9,58.7,47.1,61.4,60.4,40.8,54.6,50.7,64.0,58.0
Grover Cleveland,60.0,54.7,50.1,56.6,56.1,58.4,53.6,55.6,38.6,56.7
William Howard Taft,45.1,49.9,55.2,56.7,57.8,65.8,52.3,45.9,44.7,54.6
Gerald R. Ford,42.5,53.6,44.9,57.9,54.2,52.9,54.9,41.5,53.1,53.8
Jimmy Carter,42.5,40.0,41.5,67.1,49.4,49.1,44.2,50.8,75.1,46.9
Calvin Coolidge,49.8,46.8,52.7,59.1,50.9,56.3,55.1,44.9,39.5,51.0
Richard M. Nixon,49.0,49.1,52.6,23.0,72.3,56.5,42.8,50.2,46.6,44.0
James A. Garfield,51.1,44.1,46.1,58.1,43.4,48.8,48.6,47.0,46.7,47.3
Benjamin Harrison,43.8,42.5,43.3,47.7,51.0,49.3,50.5,43.5,43.8,46.2
Zachary Taylor,48.5,47.6,46.1,51.0,49.7,45.2,43.3,44.1,36.3,46.5
Rutherford B. Hayes,46.1,45.7,47.6,46.9,48.5,49.8,45.8,42.5,38.0,47.0
George W. Bush,49.0,52.3,38.2,45.8,36.4,45.5,51.9,46.3,47.0,43.3
Martin Van Buren,46.0,41.1,37.1,46.8,51.0,55.1,47.9,41.8,38.9,44.5
Chester A. Arthur,41.3,42.8,43.8,44.2,47.5,52.3,45.9,41.8,40.8,45.9
Herbert Hoover,37.0,29.7,28.4,48.0,49.6,64.7,44.9,37.1,40.0,36.6
Millard Fillmore,36.3,42.4,40.8,35.8,48.2,42.9,43.1,37.1,28.6,38.4
William Henry Harrison,47.6,32.7,37.8,46.9,34.3,34.5,40.5,40.4,31.4,37.1
John Tyler,36.8,40.1,37.7,34.7,50.9,40.6,31.0,37.5,24.1,38.9
Warren G. Harding,41.4,32.1,40.6,24.7,42.1,32.5,43.8,32.8,37.0,33.2
Franklin Pierce,32.3,26.9,36.6,29.6,37.5,36.7,36.6,27.5,22.6,28.8
Andrew Johnson,24.9,25.3,38.0,24.3,40.1,28.5,17.1,26.2,24.5,26.3
James Buchanan,23.9,17.4,30.1,20.5,32.1,34.0,28.4,19.7,18.4,20.4
