Month,East Asia,Europe,North America,Rest of the world
Jan 20,20500,14000,23500,40500
Feb 20,15500,14000,23500,40000
Mar 20,17000,12000,20000,36000
Apr 20,17500,10000,16000,29000
May 20,17500,11000,18000,32500
Jun 20,19000,11500,20000,33500
Jul 20,18500,13000,21000,36000
Aug 20,19000,12500,21000,32000
Sep 20,20000,13000,22000,37500
Oct 20,18500,13500,22000,39000
Nov 20,20000,13000,22500,39000
Dec 20,21000,13500,23000,40000
Jan 21,21500,12500,22000,40500
Feb 21,20500,14000,22000,40500
Mar 21,21000,13500,22000,41000
Apr 21,20500,14000,21500,41500
May 21,20500,13500,22500,41000
Jun 21,20500,14500,22500,41500
Jul 21,20000,15000,22500,41000
Aug 21,20000,14500,23000,41000
Sep 21,21000,14000,23500,40500
Oct 21,19500,14500,23500,40500
Nov 21,20500,14500,23000,41500
Dec 21,22000,14000,22500,42000
