Year,White,Black,Hispanic,Asian,American Indian/Alaskan Native
2017*,24124,7709,13571,2640,498
2016**,24413,7765,13329,2571,511
2015*,24644,7784,13080,2521,510
2014,24923,7807,12805,2470,519
2013,25160,7805,12452,2417,523
2012,25386,7803,12104,2372,534
2011,25602,7827,11759,2334,547
2010,25933,7917,11439,2296,566
2009,26702,8245,10991,2435,601
2008,27057,8358,10563,2405,589
2007,27454,8392,10454,2396,594
2006,27801,8422,10166,2332,595
2005,28005,8445,9787,2279,598
2004,28318,8386,9317,2183,591
2003,28442,8349,9011,2145,593
2002,28618,8299,8594,2088,583
2001,28735,8177,8169,2028,564
2000,28878,8100,7726,1950,550
