year,Betting,Bingo,Casinos,Arcades*,Gaming Machine Technical,Remote**,Lotteries (ELM)
"at September 30, 2019",46123,11559,12983,10046,6583,-,-
"at March 31, 2019",50065,11826,13129,10229,6468,9878,1037
"at March 31, 2018",53500,12425,15377,10236,6793,9580,941
"at March 31, 2017",52537,12704,16397,10474,6482,8201,1091
"at March 31, 2016",53303,12831,16352,10692,6661,6373,1131
"at March 31, 2015",51509,13278,15569,10980,7161,7645,982
"at March 31, 2014",52543,14069,15611,12075,6925,5835,1135
"at March 31, 2013",55332,14938,15010,11815,7313,4725,847
"at March 31, 2012",55882,15829,14701,12769,7604,5832,849
"at March 31, 2011",55411,18495,13949,12844,7603,6438,754
"at March 31, 2010",54956,16877,17529,24410,7602,7518,678
