Month and year,Imports,Exports
May20,445.52,389.43
Apr20,497.24,443.94
Mar20,705.85,446.01
Feb20,739.66,458.33
Jan20,688.49,412.85
Dec19,704.79,520.18
Nov19,703.7,496.6
Oct19,785.46,536.01
Sep19,728.63,473.92
Aug19,756.04,551.09
Jul19,720.96,532.68
Jun19,1030.76,495.99
May19,1095.09,456.36
Apr19,1056.05,466.21
Mar19,1063.0,440.38
Feb19,988.49,468.0
Jan19,907.07,448.16
Dec18,919.26,515.54
Nov18,827.84,524.88
Oct18,978.68,470.97
Sep18,1045.05,439.85
Aug18,1187.63,496.04
Jul18,1217.35,434.5
Jun18,1066.36,485.7
May18,1134.74,413.45
Apr18,1016.32,442.4
Mar18,1085.49,463.74
Feb18,968.46,397.99
Jan18,1048.76,447.04
Dec17,1032.6,446.55
Nov17,960.5,529.55
Oct17,990.78,439.62
Sep17,986.57,453.8
Aug17,979.41,485.84
Jul17,1005.36,448.02
Jun17,866.66,368.17
May17,954.32,451.89
Apr17,910.52,364.52
Mar17,879.95,484.19
Feb17,835.21,445.2
Jan17,956.05,416.81
