year and president,Democratic Win,Democratic Loss,Republican Win,Republican Loss,Unnamed: 5,Unnamed: 6
2020: Donald Trump,-,-,-,0.8%,-,-
2012: Barack Obama,-1.8%,-,-,-,-,-
2004: George W. Bush,-,-,2.8%,-,-,-
1996: Bill Clinton,6.2%,-,-,-,-,-
1992: George H. W. Bush,-,-,-,-16%,-,-
1984: Ronald Reagan,-,-,8.4%,-,-,-
1980: Jimmy Carter,-,-9%,-,-,-,-
1972: Richard Nixon,-,-,17.3%,-,-,-
1956: Dwight D. Eisenhower,-,-,2.5%,-,-,-
1944: Franklin D. Roosevelt,-1.4%,-,-,-,-,-
1940: Franklin D. Roosevelt,-5.5%,-,-,-,-,-
1936: Franklin D. Roosevelt,2.9%,-,-,-,-,-
1932: Herbert Hoover,-,-,-,-18.4%,-,-
1916: Woodrow Wilson,7.4%,-,-,-,-,-
1912: William H. Taft,-,-,-,-28.4%,-,-
1900: William McKinley,-,-,0.7%,-,-,-
1892: Benjamin Harrison,-,-,-,-4.8%,-,-
1888: Grover Cleveland,-,0.1%,-,-,-,-
1872: Ulysses S. Grant,-,-,2.9%,-,-,-
1864: Abraham Lincoln,-,-,15.1%,-,-,-
1840: Martin Van Buren,-,-4%,-,-,-,-
1832: Andrew Jackson,-1.8%,-,-,-,-,-
