all U.S. presidents,Kg,Lbs
William Howard Taft,150.57,332.0
Grover Cleveland,117.91,260.0
Donald Trump,107.5,237.0
Theodore Roosevelt,107.48,237.0
Zachary Taylor,104.31,230.0
Bill Clinton,101.13,223.0
James Buchanan,98.41,217.0
Lyndon B. Johnson,95.24,210.0
John Quincy Adams,92.06,203.0
James A. Garfield,90.7,200.0
William McKinley,90.25,199.0
"US ADULT MALE AVERAGE, 2018 (ALL AGES)",89.81,198.0
George H. W. Bush,88.44,195.0
Franklin D. Roosevelt,86.17,190.0
PRESIDENTIAL AVERAGE,85.66,188.85
James Monroe,85.71,189.0
Herbert Hoover,84.81,187.0
George W. Bush,84.35,186.0
John Adams,83.9,185.0
Abraham Lincoln,83.9,185.0
Thomas Jefferson,82.09,181.0
Barack Obama,81.63,180.0
Ronald Raegan,81.63,180.0
Joe Biden**,80.74,178.0
Jimmy Carter,80.27,177.0
Richard Nixon,79.37,175.0
John F Kennedy,79.37,175.0
Rutherford B. Hayes,79.37,175.0
George Washington,79.37,175.0
James K. Polk,78.91,174.0
Warren G. Harding,78.46,173.0
Dwight D. Eisenhower,78.0,172.0
Woodrow Wilson,77.1,170.0
Harry S. Truman,75.74,167.0
Martin Van Buren,74.38,164.0
Franklin Pierce,73.47,162.0
William Henry Harrison,73.47,162.0
Benjamin Harrison,72.56,160.0
Calvin Coolidge,70.75,156.0
Ulysses S. Grant,70.75,156.0
Andrew Jackson,69.84,154.0
James Madison,55.33,122.0
