President (number),Democrat,Average,Other,Republican
Theodore Roosevelt (26),-,-,-,42.88
John F. Kennedy (35),43.65,-,-,-
Bill Clinton (42),46.42,-,-,-
Ulysses S. Grant (18),-,-,-,46.85
Barack Obama (44),47.46,-,-,-
Franklin Pierce (14),48.28,-,-,-
James A. Garfield (20),-,-,-,49.29
James K. Polk (11),49.33,-,-,-
Millard Fillmore (13),-,-,50.5,-
John Tyler (10),-,-,51.02,-
Franklin D. Roosevelt* (32),51.09,-,-,-
Chester A. Arthur (21),-,-,-,51.96
Grover Cleveland (22+24),51.96,-,-,-
Abraham Lincoln (16),-,-,-,52.05
Jimmy Carter (39),52.3,-,-,-
Martin Van Buren (8),54.24,-,-,-
Rutherford B. Hayes (19),-,-,-,54.41
George W. Bush (43),-,-,-,54.54
Lyndon B. Johnson (36),55.24,-,-,-
William H. Taft (27),-,-,-,55.47
Richard Nixon (37),-,-,-,56.03
Andrew Johnson (17),56.29,-,-,-
Calvin Coolidge (30),-,-,-,56.67
AVERAGE,-,56.72,-,-
George Washington (1),-,-,57.18,-
John Quincy Adams (6),-,-,57.65,-
Warren G. Harding* (29),-,-,-,57.75
Thomas Jefferson (3),-,-,57.89,-
James Madison (4),-,-,57.97,-
Herbert Hoover (31),-,-,-,58.56
William McKinley (25),-,-,-,58.62
James Monroe (5),-,-,58.85,-
Benjamin Harrison (23),-,-,-,59.54
Harry S. Truman (33),60.93,-,-,-
Gerald Ford (38),-,-,-,61.07
Zachary Taylor* (12),-,-,61.27,-
John Adams (2),-,-,61.34,-
Andrew Jackson (7),61.97,-,-,-
Dwight D. Eisenhower (34),-,-,-,62.27
Woodrow Wilson (28),64.18,-,-,-
George H. W. Bush (41),-,-,-,64.61
James Buchanan (15),65.86,-,-,-
William H. Harrison* (9),-,-,68.06,-
Ronald Reagan (40),-,-,-,69.96
Donald Trump (45),-,-,-,70.6
Joe Biden** (46),78.17,-,-,-
