Response,United Russia,KPRF Communist Party of the Russian Federation,LDPR Liberal-Democratic Party of Russia,A Just Russia,Another party,I would spoil the ballot,I would not go to elections,Difficult to answer
"Oct 25, 2020",31%,13%,11%,6%,16%,1%,6%,16%
"Sep 27, 2020",31%,13%,11%,6%,17%,1%,5%,16%
"Aug 30, 2020",31%,12%,10%,5%,15%,1%,7%,19%
"Jul 26, 2020",31%,13%,13%,6%,12%,1%,4%,20%
"Jun 28, 2020",35%,12%,11%,6%,11%,1%,4%,20%
"May 31, 2020",31%,11%,10%,4%,14%,1%,8%,20%
"Apr 26, 2020",33%,13%,10%,5%,14%,1%,5%,19%
"Mar 29, 2020",37%,12%,9%,4%,14%,0%,5%,19%
"Feb 23, 2020",32%,11%,11%,5%,9%,2%,10%,20%
"Jan 26, 2020",32%,11%,12%,5%,9%,2%,10%,19%
"Dec 22, 2019",34%,12%,12%,4%,8%,1%,13%,15%
Nov 24. 2019,33%,12%,12%,4%,9%,1%,12%,15%
"Oct 27, 2019",31%,13%,12%,4%,9%,2%,13%,16%
"Sep 29, 2019",31%,13%,13%,4%,8%,2%,14%,16%
"Aug 25, 2019",32%,12%,13%,4%,9%,2%,12%,15%
"Jul 28, 2019",33%,12%,12%,4%,8%,1%,13%,15%
"Jun 30, 2019",33%,11%,13%,5%,8%,2%,12%,16%
"May 26, 2019",35%,13%,12%,4%,7%,2%,12%,16%
"Apr 28, 2019",35%,12%,12%,4%,8%,2%,12%,17%
"Mar 31, 2019",32%,13%,12%,3%,9%,2%,12%,16%
"Feb 24, 2019",33%,13%,11%,4%,7%,2%,13%,16%
"Jan 27, 2019",32%,12%,11%,3%,7%,1%,14%,19%
