Year,Males,Females
2018,62.5,37.5
2017,63.8,36.2
2016,64.1,35.9
2015,65.0,35.0
2014,66.0,34.0
2013,66.7,33.3
2012,67.8,32.2
2011,68.9,31.1
2010,69.2,30.8
2009,69.8,30.2
2008,70.6,29.4
2007,71.5,28.5
2006,71.7,28.3
2005,72.4,27.6
2004,72.9,27.1
2003,73.5,26.5
2002,74.0,26.0
2001,74.8,25.2
2000,75.8,24.2
1999,76.6,23.4
1998,77.3,22.7
1997,78.1,21.9
1996,78.7,21.3
1995,79.7,20.3
1994,80.4,19.6
1993,81.1,18.9
1992,81.8,18.2
1991,82.5,17.5
1990,83.2,16.8
1989,84.2,15.8
1988,85.0,15.0
1987,85.8,14.2
1986,86.6,13.4
1985,87.1,12.9
1984,87.9,12.1
1983,88.7,11.3
1982,89.3,10.7
1981,90.1,9.9
1980,90.5,9.5
1979,91.1,8.9
1978,91.6,8.4
