Quarter,Box office,Food service,Media,Amusement,Other
Q3 '20,14.53,15.47,12.83,13.24,4.97
Q2 '20,0.03,3.26,7.88,3.73,7.09
Q1 '20,111.0,79.37,32.16,47.34,12.94
Q4 '19,181.79,125.16,69.55,53.47,13.26
Q3 '19,177.87,125.55,43.31,58.14,13.58
Q2 '19,189.37,129.56,49.58,58.12,12.62
Q1 '19,156.5,103.06,35.01,58.5,11.87
Q4 '18,182.35,120.73,58.22,53.47,13.41
Q3 '18,173.28,115.56,33.49,53.84,10.56
Q2 '18,187.23,122.27,40.79,48.58,10.18
Q1 '18,181.38,116.95,32.51,49.91,10.13
Q4 '17,185.05,119.51,61.52,49.3,10.91
Q3 '17,164.49,107.03,39.86,48.94,10.12
Q2 '17,170.71,101.4,36.58,45.7,9.69
Q1 '17,195.34,113.94,33.91,41.4,9.64
Q4 '16,183.41,105.53,52.72,33.74,10.03
Q3 '16,180.15,109.57,44.83,-,41.41
Q2 '16,162.15,96.81,40.19,-,38.88
Q1 '16,198.64,112.01,33.06,26.05,9.16
Q4 '15,196.29,113.8,55.26,-,42.02
Q3 '15,172.57,105.46,34.3,-,15.92
Q2 '15,186.2,108.4,35.02,-,15.92
Q1 '15,156.04,90.79,29.07,-,13.89
Q4 '14,172.46,97.78,46.85,-,15.12
Q3 '14,162.57,92.09,31.99,-,12.33
Q2 '14,181.42,98.02,30.99,-,13.06
Q1 '14,156.23,87.14,24.36,-,12.3
