Month and year,Imports,Exports
May20,3013.83,1957.21
Apr20,2546.94,1996.15
Mar20,2812.89,2437.57
Feb20,2704.16,2295.9
Jan20,2751.34,2349.29
Dec19,3081.69,2208.08
Nov19,2836.62,2406.66
Oct19,3331.93,2479.9
Sep19,3129.75,2386.04
Aug19,3199.42,2502.3
Jul19,3497.63,2116.36
Jun19,3002.62,2400.39
May19,3103.23,2463.7
Apr19,2720.48,2342.31
Mar19,2832.11,2572.51
Feb19,2744.44,2323.05
Jan19,2990.41,2226.19
Dec18,3165.55,2458.99
Nov18,3034.36,2541.32
Oct18,3240.46,2486.85
Sep18,2831.18,2339.45
Aug18,3066.84,2414.47
Jul18,2979.5,2309.12
Jun18,3061.52,2458.13
May18,3079.72,2587.53
Apr18,2762.21,2634.13
Mar18,2821.1,2570.58
Feb18,2687.12,2191.19
Jan18,2758.78,2334.47
Dec17,3224.78,2657.13
Nov17,2768.62,2542.83
Oct17,2908.22,2619.79
Sep17,2922.27,2726.81
Aug17,2962.29,2459.7
Jul17,2994.4,2560.39
Jun17,3025.01,2530.27
May17,2970.29,2333.84
Apr17,2690.36,2348.27
Mar17,2748.57,2666.07
Feb17,2467.23,2050.15
Jan17,2781.05,2165.43
