Response,Feb 29 to Mar 1,Mar 12 to Mar 13,Mar 19 to Mar 20,Mar 26 to Mar 27,Apr 9 to Apr 14,Apr 16 to Apr 17
Avoid crowded public places,14%,24%,57%,80%,80%,75%
"Improve personal hygiene (e.g. washing hands more frequently, using hand sanitizer)",35%,61%,70%,75%,75%,72%
Avoid travelling,-,14%,36%,61%,69%,66%
Avoid public transport,-,15%,37%,56%,59%,60%
Refrain from touching objects in public,14%,30%,41%,56%,59%,58%
Avoid contact with people who have/seem to have flu,-,27%,41%,48%,45%,43%
Avoid going to work,2%,4%,20%,38%,38%,36%
Avoid physical contact with tourists,9%,12%,21%,35%,40%,36%
Avoid consumption of raw or uncooked meat,6%,6%,9%,12%,13%,12%
Wear a face mask in public places,1%,1%,2%,6%,10%,11%
No measures taken,54%,25%,9%,4%,3%,3%
Ask doctor for advice,-,2%,4%,3%,3%,2%
