Country,Theodore Roosevelt,William Howard Taft,Woodrow Wilson,Warren G. Harding,Calvin Coolidge,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,Richard Nixon,Gerald Ford,Jimmy Carter,Ronald Reagan,George H. W. Bush,Bill Clinton,George W. Bush,Barack Obama,Donald Trump,Unnamed: 20
Canada*,-,-,-,1,-,9,1,3,1,3,1,-,-,5,4,5,4,3,1,-
France*,-,-,5,-,-,-,-,4,1,-,3,1,1,3,4,5,4,6,4,-
United Kingdom,-,-,1,-,-,-,1,2,2,-,3,-,1,3,3,7,5,5,3,-
Mexico,-,1,-,-,-,1,1,3,1,3,2,1,1,5,1,2,6,5,-,-
Germany*,-,-,-,-,-,-,1,1,1,1,1,1,1,3,3,6,5,6,2,-
Italy,-,-,1,-,-,1,-,1,1,1,2,1,1,2,2,7,6,2,2,-
Japan,-,-,-,-,-,-,-,-,-,-,-,1,2,2,2,5,4,4,3,-
Russia*,-,-,-,-,-,1,-,-,-,-,2,1,-,1,2,5,7,2,-,-
Vatican City,-,-,1,-,-,-,-,1,1,1,2,1,1,2,2,1,5,2,1,-
South Korea,-,-,-,-,-,-,-,1,-,1,-,1,1,1,2,3,3,4,2,-
Belgium,-,-,1,-,-,-,1,-,-,-,2,1,1,2,2,2,2,2,2,-
Egypt,-,-,-,-,-,3,-,-,-,-,1,-,3,-,1,4,3,1,-,-
Brazil,-,-,-,-,-,3,1,1,-,-,-,-,1,1,2,1,2,1,-,-
China,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,4,3,1,-
Poland,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,2,3,3,1,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,1,2,4,1,-
Ireland,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,3,2,1,2,-
Israel,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,4,2,2,1,-
Panama,1,-,-,-,-,4,-,1,-,-,-,-,1,-,1,-,1,1,-,-
Spain,-,-,-,-,-,-,-,1,-,-,1,1,1,1,1,2,1,1,-,-
Switzerland,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,5,-,-,2,-
India,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,2,2,1,-
Afghanistan,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,4,1,-
Australia,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,2,2,-,-
Colombia,-,-,-,-,-,1,-,-,1,-,-,-,-,1,1,1,2,1,-,-
Indonesia,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,2,2,-,-
Philippines,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,2,1,1,-,-
Portugal,-,-,-,-,-,-,-,1,-,-,2,-,1,1,-,1,1,1,-,-
Vietnam*,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,1,1,2,-
Argentina,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,1,1,1,-
Thailand,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,2,1,-,-
Austria,-,-,-,-,-,-,-,-,1,-,2,1,1,-,-,-,1,-,-,-
Bermuda,-,-,-,-,-,-,1,2,1,-,1,-,-,-,1,-,-,-,-,-
Costa Rica,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,1,-,1,-,-
Czechia*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-,-
Finland,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,-,-,1,-
Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-
Jordan,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,2,1,-,-
Turkey,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,1,2,-,-
Ukraine*,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,3,1,-,-,-
Bahamas,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Chile,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,1,1,-,-
Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-
Pakistan,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,1,1,-,-,-
Romania,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,2,-,-,-
Senegal,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,2,-,-
Singapore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,1,-
Trinidad & Tobago,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Uruguay,-,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,1,-,-,-
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-
El Salvador,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1,-,-
