Response,Male,Female
A scantily clad woman in an ad for a product for men,64%,82%
A scantily clad man in an ad for a product for women,54%,69%
A scantily clad woman in an ad for a product for women,40%,56%
A woman walking a step or more behind a man in a commercial,32%,49%
A bunch of businessmen with no women present,28%,43%
Two very attractive women with one man,29%,39%
A woman cooking dinner with a man sitting at the dining room table nearby,23%,37%
Two very attractive men with one woman,23%,31%
A woman doing laundry,17%,28%
A bunch of businesswomen with no men present,18%,22%
A car commercial with a man driving and a woman in the passenger seat,11%,17%
A man standing leading a business meeting with a woman seated at the table,8%,16%
A man doing yard work,8%,15%
A man cooking dinner with a woman sitting at the dining room table nearby,5%,8%
A woman standing leading a business meeting with a man seated at the table,5%,4%
A woman doing yard work,4%,3%
A man doing laundry,3%,3%
A car commercial with the woman driving and the man in the passenger seat,5%,3%
