Year,Internet news and opinion (average),FOXNews.com,ABCNews.com,NYTimes.com,CNN.com,USATODAY.com,TheHuffingtonPost.com,MSNBC.com,All others
2019,77,78,73,76,69,74,70,-,80
2018,75,78,71,75,68,71,70,71,77
2017,75,77,74,73,71,74,67,72,77
2016,76,79,76,76,75,76,72,77,77
2015,73,76,74,76,73,74,71,75,72
2014,74,76,74,73,70,76,70,77,70
2013,73,82,75,74,73,73,69,72,72
2012,73,84,76,74,75,75,69,72,72
2011,73,82,77,73,74,76,69,72,72
2010,74,82,75,76,73,77,-,73,73
2009,74,-,71,73,71,74,-,75,75
2008,75,-,75,75,73,73,-,76,76
2007,75,-,74,73,73,72,-,77,77
