Month and year,Imports,Exports
May20,1702.64,3381.47
Apr20,1491.47,3795.73
Mar20,2013.45,4855.14
Feb20,1980.82,4670.25
Jan20,2298.15,5146.44
Dec19,2089.67,5223.44
Nov19,2136.54,5372.41
Oct19,2125.65,4949.26
Sep19,2201.64,4573.26
Aug19,2336.85,4926.56
Jul19,2493.58,4246.45
Jun19,2327.0,4766.82
May19,3060.97,4702.35
Apr19,2801.41,4363.96
Mar19,2682.79,4763.64
Feb19,1902.41,4362.53
Jan19,3210.16,5052.04
Dec18,2711.1,5452.81
Nov18,2650.04,5186.51
Oct18,4045.28,5483.67
Sep18,3344.08,4970.51
Aug18,3092.39,5334.8
Jul18,3430.54,5192.05
Jun18,3592.33,4887.0
May18,3282.78,4211.33
Apr18,3657.72,4357.99
Mar18,3164.27,4254.98
Feb18,3260.39,4506.44
Jan18,3776.81,4553.08
Dec17,2724.9,4773.54
Nov17,3145.5,4778.48
Oct17,2913.61,5263.58
Sep17,3206.21,4402.52
Aug17,2747.63,3744.18
Jul17,3098.04,3813.27
Jun17,3077.6,3574.69
May17,3191.83,3484.13
Apr17,3140.96,3658.96
Mar17,3565.45,4062.48
Feb17,3061.19,3782.17
Jan17,3763.37,4324.73
