Year,Male population,Female population
2020,4439.69,4566.71
2019,4409.38,4545.73
2018,4371.94,4519.44
2017,4330.19,4489.71
2016,4288.1,4459.21
2015,4248.66,4430.01
2014,4212.65,4402.56
2013,4179.6,4376.59
2012,4149.69,4352.54
2011,4122.78,4330.72
2010,4098.64,4311.3
2009,4077.78,4294.88
2008,4060.18,4281.35
2007,4044.5,4269.23
2006,4028.9,4256.45
2005,4012.06,4241.6
2004,3993.1,4223.71
2003,3972.39,4203.46
2002,3951.4,4183
2001,3932.29,4165.47
2000,3916.4,4152.87
1999,3904.71,4146.4
1998,3896.2,4144.85
1997,3887.87,4145
1996,3875.56,4142.29
1995,3856.5,4133.62
1994,3829.47,4117.75
1993,3795.96,4096.13
1992,3759.34,4071.59
1991,3724.4,4048.3
1990,3694.67,4029.28
1989,3671.2,4015.37
1988,3653.11,4005.75
1987,3639.53,3999.83
1986,3628.92,3996.47
1985,3620.08,3994.79
1984,3612.73,3994.57
1983,3607.13,3995.97
1982,3603.27,3998.9
1981,3601.2,4003.32
1980,3600.77,4008.98
1979,3601.99,4015.9
1978,3604.24,4023.52
1977,3606.1,4030.47
1976,3605.76,4034.99
1975,3601.87,4035.82
1974,3593.89,4032.4
1973,3582.08,4024.99
1972,3566.97,4014.15
1971,3549.5,4000.84
1970,3530.44,3985.8
1969,3510.04,3969.3
1968,3488.26,3951.32
1967,3465.24,3931.93
1966,3441.1,3911.14
1965,3416.05,3889.1
1964,3390.19,3865.9
1963,3363.96,3842.03
1962,3338.36,3818.48
1961,3314.61,3796.53
1960,3293.62,3777.15
1959,3275.79,3760.76
1958,3261.08,3747.34
1957,3249.15,3736.58
1956,3239.55,3728.07
1955,3231.93,3721.48
1954,3226.01,3716.61
1953,3221.71,3713.44
1952,3219.08,3712.12
1951,3218.38,3712.97
1950,3219.96,3716.48
.....,-,-
1934,3248,3512
....,-,-
1923,3148,3387
...,-,-
1910,3285,3364
