Year and candidate,Democrat,Republican,Federalist,Democratic-Republican,Whig,Faithless elector,Unaffiliated
2020: Donald Trump,-,15,-,-,-,-,-
2016: Donald Trump*,-,15,-,-,-,-,-
2012: Mitt Romney,-,15,-,-,-,-,-
2008: Barack Obama*,15,-,-,-,-,-,-
2004: George W. Bush*,-,15,-,-,-,-,-
2000: George W. Bush*,-,14,-,-,-,-,-
1996: Bob Dole,-,14,-,-,-,-,-
1992: George H. W. Bush,-,14,-,-,-,-,-
1988: George H. W. Bush*,-,13,-,-,-,-,-
1984: Ronald Reagan*,-,13,-,-,-,-,-
1980: Ronald Reagan*,-,13,-,-,-,-,-
1976: Jimmy Carter*,13,-,-,-,-,-,-
1972: Richard Nixon*,-,13,-,-,-,-,-
1968: Richard Nixon*/**,-,12,-,-,-,1,-
1964: Lyndon B. Johnson*,13,-,-,-,-,-,-
1960: John F. Kennedy*,14,-,-,-,-,-,-
1956: Adlai Stevenson,14,-,-,-,-,-,-
1952: Adlai Stevenson,14,-,-,-,-,-,-
1948: Harry S. Truman*,14,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,14,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,14,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,13,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,13,-,-,-,-,-,-
1928: Herbert Hoover*,-,12,-,-,-,-,-
1924: John W. Davis,12,-,-,-,-,-,-
1920: James M. Cox,12,-,-,-,-,-,-
1916: Woodrow Wilson*,12,-,-,-,-,-,-
1912: Woodrow Wilson*,12,-,-,-,-,-,-
1908: William Jennings Bryan,12,-,-,-,-,-,-
1904: Alton B. Parker,12,-,-,-,-,-,-
1900: William Jennings Bryan,11,-,-,-,-,-,-
1896: William Jennings Bryan,11,-,-,-,-,-,-
1892: Grover Cleveland*,11,-,-,-,-,-,-
1888: Grover Cleveland,11,-,-,-,-,-,-
1884: Grover Cleveland*,11,-,-,-,-,-,-
1880: Winfield Hancock,10,-,-,-,-,-,-
1876: Samuel J. Tilden,10,-,-,-,-,-,-
1872: Ulysses S. Grant*,-,10,-,-,-,-,-
1868: Ulysses S. Grant*,-,9,-,-,-,-,-
1864: Seceded from union,-,-,-,-,-,-,-
1860: John C. Breckenridge,10,-,-,-,-,-,-
1856: James Buchanan*,10,-,-,-,-,-,-
1852: Franklin Pierce*,10,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,11,-,-
1844: Henry Clay,-,-,-,-,11,-,-
1840: William Henry Harrison*,-,-,-,-,15,-,-
1836: Martin Van Buren*,15,-,-,-,-,-,-
1832: Andrew Jackson*,15,-,-,-,-,-,-
1828: Andrew Jackson*,15,-,-,-,-,-,-
1824: Andrew Jackson,-,-,-,15,-,-,-
1820: James Monroe*,-,-,-,15,-,-,-
1816: James Monroe*,-,-,-,15,-,-,-
1812: James Madison*,-,-,-,15,-,-,-
"1808: James Madison* (11), Charles C. Pinckney (3)",-,-,3,11,-,-,-
1804: Thomas Jefferson*,-,-,-,14,-,-,-
"1800: Thomas Jefferson* (8), John Adams (4)",-,-,4,8,-,-,-
"1796: Thomas Jefferson (11), John Adams* (1)",-,-,1,11,-,-,-
1792: George Washington*,-,-,-,-,-,-,12
