Year,Male,Female
"94th Congress, 1975",100,0
"95th Congress, 1977",100,0
"96th Congress, 1979",99,1
"97th Congress, 1981",98,2
"98th Congress, 1983",98,2
"99th Congress, 1985",98,2
"100th Congress, 1987",98,2
"101st Congress, 1989",98,2
"102nd Congress, 1991",98,2
"103rd Congress, 1993",93,7
"104th Congress, 1995",92,8
"106th Congress, 1999",91,9
"107th Congress, 2001",87,13
"108th Congress, 2003",86,14
"109th Congress, 2005",86,14
"110th Congress, 2007",84,16
"111th Congress, 2009",83,17
"112th Congress, 2011",83,17
"113th Congress, 2013",80,20
"114th Congress, 2015",80,20
"115th Congress, 2017",79,21
"116th Congress, 2019*",75,25
