Quarter,Imaging Products & Solutions,Game,Mobile Products & Communications,Home Entertainment & Sound,Devices,Pictures,Music,Financial Services,All Other
Q3 '13,1881.95,4197.1,4384.25,3838.0,2052.0,2125.15,1374.65,2699.9,1767.95
Q2 '13,1667.25,1479.15,3976.7,2506.1,1976.95,1689.1,1092.5,2327.5,1248.3
Q1 '13,1649.2,1120.05,3695.5,2614.4,1863.9,1509.55,1064.0,2400.65,1240.7
Q4 '12,1648.25,1638.75,3351.6,1741.35,1558.95,1970.3,1113.4,2997.25,1493.4
Q3 '12,1775.55,2550.75,3028.6,3076.1,2064.35,1984.55,1200.8,2530.8,1578.9
Q2 '12,1791.7,1407.9,2853.8,2242.0,2374.05,1548.5,942.4,2198.3,1222.65
Q1 '12,1841.1,1121.0,2713.2,2392.1,2064.35,1457.3,938.6,1847.75,1180.85
Q4 '11,1640.88,1661.72,1846.65,2212.51,2277.17,1742.66,1008.09,2527.59,1344.18
Q3 '11,1798.88,3002.82,1557.96,3745.93,2215.57,1525.25,1172.47,2090.91,1420.73
Q2 '11,2081.75,1672.16,1345.68,2990.6,2847.55,1608.64,984.56,1748.94,1182.81
Q1 '11,1711.0,1310.48,1165.15,3240.95,2412.11,1371.79,1041.37,1915.56,1090.54
