app categories,Day 1,Day 7,Day 30
Comics,33.8%,16.4%,9.3%
Shopping - marketplace,33.7%,16.1%,8.7%
News,33.1%,19.8%,13.3%
Gaming - hyper casual,32.3%,8.3%,2.6%
Gaming - casual,32.3%,11.1%,4.5%
Gaming - social casino,32.1%,12.6%,5.4%
Gaming - midcore,31%,7.9%,2.3%
Finance - traditional banking,30.6%,18.6%,13.4%
Finance - digital banking,30%,15.6%,10.2%
Dating,29.6%,11.4%,5.1%
Gaming - hardcore,28.7%,8.7%,3.1%
Sports,27.6%,15.3%,9.9%
Social,26.3%,9.3%,3.9%
Finance - investments,25.6%,12.5%,7.1%
Books,25.1%,11.1%,6%
Shopping - e-commerce,24.5%,10.7%,5.6%
Entertainment - streaming,24.4%,9.9%,4.7%
Finance - all,22.7%,9.7%,5.8%
Business,22.4%,10.1%,5%
Communication,22.4%,10.3%,6%
Entertainment - all,22%,8.2%,3.8%
Finance - financial services,21.8%,9.7%,6.1%
Lifestyle,20.9%,8.7%,4.5%
Music,20.4%,8.1%,4.2%
Health & fitness,20.2%,8.5%,4%
Travel,20%,7.6%,3.6%
Medical,20%,7%,3.5%
Education,18.8%,6.3%,2.5%
Utilities,18.3%,6.8%,3.4%
Productivity,17.2%,7.2%,4.1%
Food & drink,16.5%,7.2%,3.9%
