Month,HSBC Holdings (UK),BNP Paribas (France),UBS (Switzerland),Banco Santander (Spain),ING Group (Netherlands),Lloyds Banking Group (UK)
Oct '20,85.46,43.52,41.94,33.35,26.6,24.96
Sep '20,79.76,45.59,40.01,30.69,27.61,23.0
Aug '20,88.11,54.33,43.58,33.72,31.88,25.13
Jul '20,92.26,50.04,41.9,35.96,27.19,25.62
Jun '20,95.03,49.74,41.36,39.95,28.1,26.54
May '20,93.89,44.82,38.35,37.61,25.15,24.76
Apr '20,104.8,39.25,38.56,37.45,21.45,28.18
Mar '20,114.08,42.62,33.19,37.55,20.07,26.59
Feb '20,136.51,60.32,39.78,62.32,36.98,44.9
Jan '20,147.44,66.18,44.73,65.58,42.36,52.01
Dec '19,161.51,74.03,45.96,66.97,46.96,57.97
