Response,Sao Paolo,New York,Berlin,Moscow,Paris,Milan,Stockholm,Manchester
"March 3, 2020",116%,102%,94%,117%,101%,44%,93%,98%
"March 10, 2020",117%,90%,83%,106%,88%,13%,87%,93%
"March 17, 2020",45%,20%,28%,82%,15%,6%,39%,47%
"March 24, 2020",11%,8%,12%,57%,6%,4%,32%,16%
"March 31, 2020",14%,7%,12%,17%,6%,3%,29%,10%
"April 7, 2020",12%,6%,12%,17%,5%,3%,30%,10%
"April 14, 2020",11%,6%,12%,17%,6%,4%,29%,10%
"April 21, 2020",7%,6%,15%,17%,6%,4%,35%,10%
"April 28, 2020",11%,7%,17%,17%,7%,4%,29%,8%
"May 5, 2020",11%,7%,20%,14%,8%,9%,33%,9%
"May 12, 2020",13%,7%,23%,18%,22%,8%,31%,10%
"May 19, 2020",11%,8%,27%,20%,28%,13%,35%,13%
"May 26, 2020",12%,9%,30%,25%,32%,17%,45%,15%
"June 2, 2020",13%,11%,34%,28%,48%,20%,44%,17%
"June 9, 2020",15%,12%,37%,46%,48%,23%,47%,16%
"June 16, 2020",17%,13%,41%,63%,57%,27%,49%,17%
"June 23, 2020",16%,16%,43%,68%,64%,31%,55%,22%
"June 30, 2020",18%,17%,46%,68%,68%,31%,54%,23%
"July 7, 2020",18%,17%,48%,66%,71%,35%,52%,27%
"July 14, 2020",19%,20%,55%,65%,56%,38%,48%,31%
"July 21, 2020",19%,20%,52%,67%,68%,35%,45%,31%
"July 28, 2020",22%,20%,59%,68%,65%,33%,47%,35%
"Aug 4, 2020",22%,19%,61%,73%,54%,27%,54%,33%
"Aug 11, 2020",22%,23%,65%,74%,48%,19%,64%,38%
"Aug 18, 2020",21%,24%,63%,79%,52%,18%,67%,40%
"Aug  25, 2020",24%,24%,62%,80%,61%,26%,67%,40%
"Sep 1, 2020",25%,24%,62%,88%,78%,44%,68%,47%
"Sep 8, 2020",27%,27%,60%,82%,88%,57%,67%,53%
"Sep 15, 2020",26%,27%,65%,83%,88%,66%,66%,57%
"Sep 22, 2020",24%,27%,63%,86%,90%,69%,70%,62%
"Sep 29, 2020",27%,26%,65%,78%,84%,68%,63%,56%
"Oct 6, 2020",29%,27%,63%,74%,81%,68%,76%,51%
"Oct 13, 2020",29%,25%,60%,60%,80%,61%,64%,53%
"Oct 20, 2020",29%,27%,52%,56%,70%,51%,71%,49%
"Oct 27, 2020",29%,27%,51%,59%,67%,38%,74%,44%
"Nov 3, 2020",30%,25%,40%,53%,29%,31%,57%,54%
"Nov 10, 2020",30%,27%,35%,51%,30%,15%,53%,35%
"Nov 17, 2020",28%,25%,34%,50%,31%,17%,49%,35%
"Nov 24, 2020",30%,24%,35%,50%,32%,17%,45%,34%
"Dec 1, 2020",28%,22%,37%,48%,43%,21%,50%,37%
"Dec 8, 2020",30%,22%,35%,53%,45%,18%,49%,41%
