Year,Small pickups,Midsize pickups,Large pickups,Small vans,Midsize vans,Large vans,Small SUV,Midsize SUV,Large SUV
2012,0,31,1305,0,656,29,0,1380,1417
2011,0,21,1458,0,503,18,0,1673,1396
2010,0,153,1123,20,524,15,98,1309,898
2009,0,184,805,22,351,15,57,965,691
2008,0,277,1517,16,746,27,151,1571,1350
2007,0,264,1850,0,816,32,143,1539,1632
2006,7,274,1906,0,1096,70,132,1623,1250
2005,8,216,2076,0,1426,55,174,1602,1496
2000,101,766,1746,0,1522,170,269,1288,814
1995,221,698,1036,2,1298,110,79,1081,241
1990,289,600,945,31,1124,107,163,401,72
