Year and candidate,Democrat,Republican,Unaffiliated,Federalist,Democratic-Republican,Whig,Progressive Party,Uncast ballot
2020: Joe Biden*,20,-,-,-,-,-,-,-
2016: Donald Trump*,-,20,-,-,-,-,-,-
2012: Barack Obama*,20,-,-,-,-,-,-,-
2008: Barack Obama*,21,-,-,-,-,-,-,-
2004: John Kerry,21,-,-,-,-,-,-,-
2000: Al Gore,23,-,-,-,-,-,-,-
1996: Bill Clinton*,23,-,-,-,-,-,-,-
1992: Bill Clinton*,23,-,-,-,-,-,-,-
1988: George H. W. Bush*,-,25,-,-,-,-,-,-
1984: Ronald Reagan*,-,25,-,-,-,-,-,-
1980: Ronald Reagan*,-,27,-,-,-,-,-,-
1976: Jimmy Carter*,27,-,-,-,-,-,-,-
1972: Richard Nixon*,-,27,-,-,-,-,-,-
1968: Hubert Humphrey,29,-,-,-,-,-,-,-
1964: Lyndon B. Johnson*,29,-,-,-,-,-,-,-
1960: John F. Kennedy*,32,-,-,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,32,-,-,-,-,-,-
1952: Dwight D. Eisenhower*,-,32,-,-,-,-,-,-
1948: Thomas E. Dewey,-,35,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,35,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,36,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,36,-,-,-,-,-,-,-
1932: Herbert Hoover,-,36,-,-,-,-,-,-
1928: Herbert Hoover*,-,38,-,-,-,-,-,-
1924: Calvin Coolidge*,-,38,-,-,-,-,-,-
1920: Warren G. Harding*,-,38,-,-,-,-,-,-
1916: Charles Evans Hughes,-,38,-,-,-,-,-,-
1912: Theodore Roosevelt,-,-,-,-,-,-,38,-
1908: William Howard Taft*,-,34,-,-,-,-,-,-
1904: Theodore Roosevelt*,-,34,-,-,-,-,-,-
1900: William McKinley*,-,32,-,-,-,-,-,-
1896: William McKinley*,-,32,-,-,-,-,-,-
1892: Benjamin Harrison,-,32,-,-,-,-,-,-
1888: Benjamin Harrison*,-,30,-,-,-,-,-,-
1884: James G. Blaine,-,30,-,-,-,-,-,-
1880: James A. Garfield*,-,29,-,-,-,-,-,-
1876: Rutherford B. Hayes*,-,29,-,-,-,-,-,-
1872: Ulysses S. Grant*,-,29,-,-,-,-,-,-
1868: Ulysses S. Grant*,-,26,-,-,-,-,-,-
1864: Abraham Lincoln*,-,26,-,-,-,-,-,-
1860: Abraham Lincoln*,-,27,-,-,-,-,-,-
1856: James Buchanan*,27,-,-,-,-,-,-,-
1852: Franklin Pierce*,27,-,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,-,26,-,-
1844: James K. Polk*,26,-,-,-,-,-,-,-
1840: William Henry Harrison*,-,-,-,-,-,30,-,-
1836: Martin Van Buren*,30,-,-,-,-,-,-,-
1832: Andrew Jackson*,30,-,-,-,-,-,-,-
1828: Andrew Jackson*,28,-,-,-,-,-,-,-
1824: Andrew Jackson,-,-,-,-,28,-,-,-
1820: James Monroe*,-,-,-,-,24,-,-,1
1816: James Monroe*,-,-,-,-,25,-,-,-
1812: James Madison*,-,-,-,-,25,-,-,-
1808: James Madison*,-,-,-,-,20,-,-,-
1804: Thomas Jefferson*,-,-,-,-,20,-,-,-
"1800: Thomas Jefferson (8), John Adams* (7)",-,-,-,7,8,-,-,-
"1796: Thomas Jefferson (14), John Adams* (1)",-,-,-,1,14,-,-,-
1792: George Washington*,-,-,15,-,-,-,-,-
1789: George Washington*,-,-,10,-,-,-,-,-
