country,Women,Men
Japan (Actual retirement age),69.5,66.5
Japan (Statutory retirement age),64.0,62.0
Sweden (Actual retirement age),65.7,62.9
Sweden (Statutory retirement age),65.0,65.0
USA (Actual retirement age),64.6,63.9
United States (Statutory retirement age),65.8,65.8
Great Britain (Actual retirement age),63.2,61.9
Great Britain (Statutory retirement age),65.0,60.0
Germany (Actual retirement age),62.1,61.0
Germany (Statutory retirement age),65.0,65.0
Spain (Actual retirement age),61.4,63.1
Spain (Statutory retirement age),65.0,65.0
Italy (Actual retirement age),60.8,60.8
Italy (Statutory retirement age),65.0,60.0
Austria (Actual retirement age),58.9,57.9
Austria (Statutory retirement age),65.0,60.0
France (Actual retirement age),58.7,59.5
France (Statutory retirement age),60.0,60.0
