Response,Total,Patients with symptoms,Patients with no symptoms
December 4,155232,-,-
December 3,152827,-,-
December 2,150386,-,-
December 1,148694,-,-
November 30,146760,-,-
November 29,144653,-,-
November 28,142068,-,-
November 27,139491,-,-
November 26,137261,-,-
November 25,135400,-,-
November 24,133929,-,-
November 23,132358,-,-
November 22,130179,-,-
November 21,127665,-,-
November 20,125267,-,-
November 19,122966,-,-
November 18,120815,-,-
November 17,119326,-,-
November 16,118136,-,-
November 15,116677,-,-
November 14,114983,-,-
November 13,113298,-,-
November 12,111711,-,-
November 11,110156,-,-
November 10,108983,-,-
November 9,108084,-,-
November 8,107086,-,-
November 7,105914,-,-
November 6,104782,-,-
November 5,103838,-,-
November 4,102900,-,-
November 3,102281,-,-
November 2,101813,-,-
November 1,101146,-,-
October 31,100392,-,-
October 30,99622,-,-
October 29,98852,-,-
October 28,98116,-,-
October 27,97498,-,-
October 26,97074,-,-
October 25,96534,-,-
October 24,95835,-,-
October 23,95138,-,-
October 22,94524,-,-
October 21,93933,-,-
October 20,93480,-,-
October 19,93127,-,-
October 18,92656,-,-
October 17,92063,-,-
October 16,91431,-,-
October 15,90710,-,-
October 14,90140,-,-
October 13,89673,-,-
October 12,89347,-,-
October 11,88912,-,-
October 10,88233,-,-
October 9,87639,-,-
October 8,87020,-,-
October 7,86543,-,-
October 6,86047,-,-
October 5,85739,-,-
October 4,85339,-,-
October 3,84768,-,-
October 2,84215,-,-
October 1,83563,-,-
September 30,83013,-,-
September 29,82494,-,-
September 28,82131,-,-
September 27,81690,-,-
September 26,81055,-,-
September 25,80497,-,-
September 24,80041,-,-
September 23,79768,-,-
September 22,79438,-,-
September 21,79140,-,-
September 20,78657,-,-
September 19,78073,-,-
September 18,77494,-,-
September 17,77009,-,-
September 16,76448,-,-
September 15,75958,-,-
September 14,75657,-,-
September 13,75218,-,-
September 12,74544,-,-
September 11,73901,-,-
September 10,73221,-,-
September 9,72726,-,-
September 8,72234,-,-
September 7,71856,-,-
September 6,71419,-,-
September 5,70876,-,-
September 4,70268,-,-
September 3,69599,-,-
September 2,69001,-,-
September 1,68392,-,-
August 31,67865,-,-
August 30,67264,-,-
August 29,66423,-,-
August 28,65573,-,-
August 27,64668,-,-
August 26,63822,-,-
August 25,63121,-,-
August 24,62507,-,-
August 23,61747,-,-
August 22,60733,-,-
August 21,59721,-,-
August 20,58501,-,-
August 19,57550,-,-
August 18,56685,-,-
August 17,55667,-,-
August 16,54714,-,-
August 15,53577,-,-
August 14,52217,-,-
August 13,51147,-,-
August 12,50210,-,-
August 11,48928,-,-
August 10,47990,-,-
August 9,46783,-,-
August 8,45439,-,-
August 7,43815,-,-
August 6,42263,-,-
August 5,41129,-,-
August 4,39858,-,-
August 3,38687,-,-
August 2,36689,-,-
August 1,35836,-,-
July 31,34372,-,-
July 30,33049,-,-
July 29,31901,-,-
July 28,30961,-,-
July 27,29989,-,-
July 26,29382,-,-
