Year,Total cases,Recoveries,Deaths
12/15/20,919704,535417,15744
12/14/20,909082,522868,15480
12/13/20,900666,506718,15247
12/12/20,894215,501564,15154
12/11/20,885039,494001,14998
12/10/20,872228,480348,14755
12/09/20,858714,465021,14470
12/08/20,845343,451118,14204
12/07/20,832758,436564,13928
12/06/20,821947,423704,13733
12/05/20,813306,418581,13588
12/04/20,801716,412533,13421
12/03/20,787891,397809,13195
12/02/20,772760,384426,12960
12/01/20,758264,369054,12717
11/30/20,745123,355172,12548
11/29/20,732625,345149,12327
11/28/20,722679,339378,12213
11/27/20,709701,335135,12093
11/26/20,693407,326238,11909
11/25/20,671189,317395,11717
11/24/20,661858,307778,11492
11/23/20,647976,299358,11263
11/22/20,635689,291060,11075
11/21/20,624744,286917,10951
11/20/20,612665,282313,10813
11/19/20,598085,274324,10598
11/18/20,583510,266479,10369
11/17/20,570153,259079,10112
11/16/20,557657,250983,9856
11/15/20,545689,244197,9697
11/14/20,535857,241444,9603
11/13/20,525176,238811,9508
11/12/20,512652,233849,9317
11/11/20,500865,227694,9145
11/10/20,489808,221459,8947
11/09/20,479197,214657,8756
11/08/20,469018,209143,8567
11/07/20,460331,260866,8450
11/06/20,450934,204229,8312
11/05/20,440188,195544,8125
11/04/20,430467,184782,7924
11/03/20,420617,176404,7731
11/02/20,411093,168868,7532
11/01/20,402194,163768,7375
10/31/20,395440,161441,7306
10/30/20,387481,158928,7196
10/29/20,378729,155026,7041
10/28/20,370417,151632,6868
10/27/20,363075,148642,6755
10/26/20,355601,145336,6590
10/25/20,348924,142537,6464
10/24/20,343498,141508,6391
10/23/20,337410,139755,6289
10/22/20,330396,137578,6164
10/21/20,322879,134898,6043
10/20/20,315826,132219,5927
10/19/20,309107,129533,5786
10/18/20,303638,126489,5673
10/17/20,298872,125377,5607
10/16/20,293641,124113,5517
10/15/20,287231,121919,5408
10/14/20,281239,119650,5302
10/13/20,276177,118699,5229
10/12/20,270587,116562,5122
10/11/20,265454,114410,5015
10/10/20,261034,113507,4972
10/09/20,256266,112570,4887
10/08/20,250538,110650,4779
10/07/20,244734,108233,4690
10/06/20,239337,105970,4597
10/05/20,234584,103401,4520
10/04/20,230236,101252,4430
10/03/20,226462,100107,4397
10/02/20,222322,98737,4353
10/01/20,217661,96591,4261
09/30/20,213028,94398,4193
09/29/20,208959,92360,4129
09/28/20,204932,90250,4065
09/27/20,201305,88453,3996
09/26/20,198634,87882,3959
09/25/20,195504,86873,3903
09/24/20,191671,85133,3827
09/23/20,188106,83458,3757
09/22/20,184734,81670,3705
09/21/20,181237,79901,3642
09/20/20,178353,78184,3583
09/19/20,175678,77512,3557
09/18/20,172712,76754,3516
09/17/20,169472,75486,3468
09/16/20,166244,73913,3400
09/15/20,162660,72324,3240
09/14/20,159702,70810,3264
09/13/20,156797,69543,3211
09/12/20,154335,68893,3178
09/11/20,151859,68346,3148
09/10/20,148756,67005,3076
09/09/20,145612,65877,3023
09/08/20,143030,64703,2979
09/07/20,140479,63546,2934
09/06/20,138068,62606,2877
